id,y,x,type
120,4867813.478199719,558326.2756818212,junction
121,4867838.326930587,558326.3830333136,junction
122,4867860.81610769,558328.2573212043,junction
123,4867877.159111931,558332.7229762046,junction
124,4867904.169465663,558344.6772145489,junction
125,4867921.060778148,558362.768866978,junction
126,4867932.259684476,558364.6395027037,junction
127,4867965.138305395,558370.7796903283,junction
128,4867989.371454768,558373.0312040814,junction
129,4868013.265431227,558374.0575965487,junction
130,4868037.961901473,558374.5536723938,junction
131,4868061.284503746,558374.538366341,junction
132,4868085.0477899555,558373.5888831604,junction
133,4868103.781116153,558371.22242008,junction
134,4868127.572300091,558368.0815155497,junction
135,4868159.96045717,558364.61783764,junction
136,4868177.064528737,558361.8861074072,junction
137,4868200.759880202,558358.4090123738,junction
138,4868217.563244838,558355.815382979,junction
139,4868230.241631512,558354.6446031743,junction
140,4868251.089901788,558352.0298690223,junction
141,4868281.11658489,558346.141614072,junction
142,4868309.394794509,558339.9348951762,junction
143,4868331.722511631,558333.2601220305,junction
144,4868340.260185793,558329.51029679,junction
145,4868359.900073768,558324.4648045023,junction
146,4868383.848721752,558315.6650273388,junction
147,4868402.6698131235,558304.3070707674,junction
148,4868425.774735523,558282.5107382231,junction
149,4868433.992884809,558269.4493470109,junction
150,4868455.113284964,558252.8200356005,junction
151,4868481.420625974,558237.6094813462,junction
152,4868491.273513579,558229.8845928534,junction
153,4868506.848984734,558221.436929403,junction
154,4868511.615734187,558201.3093267506,junction
155,4868531.636321056,558180.8095896635,junction
156,4868549.157549959,558166.0596565336,junction
157,4868562.248928243,558154.5521032567,junction
158,4868577.236025763,558143.0960964332,junction
159,4868596.872885908,558130.9283693645,junction
160,4868607.118857862,558125.1024730265,junction
161,4868640.083208597,558114.379312643,junction
162,4868658.09548635,558106.1904542956,junction
163,4868675.955515126,558096.3849701511,junction
164,4868707.45218009,558085.4839752185,junction
165,4868731.403930924,558081.9620293522,junction
166,4868739.098354355,558078.6663988605,junction
167,4868750.000608751,558073.8450873388,junction
168,4868778.902735387,558061.1661981315,junction
169,4868791.4744343525,558055.3064198351,junction
170,4868800.099825078,558051.6603193408,junction
171,4868830.261268206,558038.2482139384,junction
172,4868844.130942598,558031.3160055488,junction
173,4868851.037435075,558029.1887522067,junction
174,4868881.709934446,558016.4421590313,junction
175,4868901.179703191,558008.8916846443,junction
176,4868907.272973913,558006.8653402922,junction
177,4868926.446252147,558000.2622767572,junction
178,4868948.701205904,557990.8595260176,junction
179,4868966.028761997,557979.1368621943,junction
180,4868976.464859194,557972.5136521285,junction
181,4869007.58300144,557962.2362832885,junction
182,4869028.5262561375,557957.8426232407,junction
183,4869040.129427629,557955.8105292702,junction
184,4869051.67816508,557953.1470770742,junction
185,4869074.90650387,557949.0580694629,junction
186,4869098.569726822,557945.8702177516,junction
187,4869145.21013745,557942.5901121923,junction
188,4869167.427658472,557940.144141438,junction
189,4869183.611115745,557936.0473453596,junction
190,4869203.399043717,557930.2291298793,junction
191,4869224.981826768,557924.2520082077,junction
192,4869257.30876537,557915.6432208418,junction
193,4869265.016191516,557904.0405656426,junction
194,4869274.204671538,557888.3069646935,junction
195,4869300.009048661,557870.2047597853,junction
196,4869338.798257523,557859.9850186342,junction
197,4869351.086828237,557853.226647034,junction
198,4869377.615724131,557838.1717909147,junction
199,4869396.250424429,557827.1303278977,junction
200,4869401.508253707,557823.8301418918,junction
201,4869426.34164352,557809.0840574278,junction
202,4869434.791732805,557803.7926920214,junction
203,4869452.407162139,557793.0187662265,junction
204,4869475.914505884,557776.6083450963,junction
205,4869503.880859127,557760.1112754892,junction
206,4869512.098482497,557756.716317819,junction
207,4869524.560917675,557746.7704784326,junction
208,4869549.452123778,557725.7331644285,junction
209,4868123.0,560306.0,inlet
210,4868126.41991134,560300.7977283138,junction
211,4868140.875711617,560278.7515591234,junction
212,4868151.043827146,560263.3639523737,junction
213,4868155.780020171,560256.7128785565,junction
214,4868178.485818558,560222.905756836,junction
215,4868192.510879366,560201.8038953126,junction
216,4868202.232568079,560187.760499006,junction
