id,y,x,type
234,4868505.518705659,559560.9905856134,junction
235,4868520.586565564,559553.2951270336,junction
236,4868528.608852364,559548.4750698593,junction
237,4868550.2361262515,559535.993019517,junction
238,4868552.988906098,559528.824578354,junction
239,4868575.334919793,559491.4316071706,junction
240,4868583.714783547,559458.8040475333,junction
241,4868584.456948253,559434.9714332931,junction
242,4868587.708258549,559413.134391329,junction
243,4868593.620356077,559399.5951420771,junction
244,4868604.512424709,559381.7085108308,junction
245,4868623.848794158,559352.5627908997,junction
246,4868640.054869305,559322.9375988353,junction
247,4868648.66588075,559308.8353934413,junction
248,4868654.658315822,559298.9329354863,junction
249,4868665.142589343,559280.6811463322,junction
250,4868676.667470182,559259.4054355301,junction
251,4868677.401351153,559251.6569259461,junction
252,4868678.654481268,559225.8302232275,junction
253,4868681.162446447,559203.5413069112,junction
254,4868684.170465764,559158.9154147635,junction
255,4868685.725543841,559135.4608142687,junction
256,4868689.9075567005,559114.8315703194,junction
257,4868698.586809863,559103.2109381806,junction
258,4868720.253862579,559078.0409320152,junction
259,4868731.339658072,559064.901338732,junction
260,4868740.279554034,559053.4413227743,junction
261,4868750.54611951,559041.1869097112,junction
262,4868765.083782068,559029.1528005782,junction
263,4868777.317655003,559015.9895019028,junction
264,4868793.441232895,559000.2012728857,junction
265,4868798.686711739,558996.7268238541,junction
266,4868820.444423695,558977.7613736311,junction
267,4868824.2493944885,558974.0692492938,junction
268,4868855.280839073,558957.2488558834,junction
269,4868860.951543664,558952.8396485511,junction
270,4868875.060688627,558933.3336589644,junction
271,4868878.4786318615,558931.4692978056,junction
272,4868883.356174599,558905.239396851,junction
273,4868890.313576233,558865.1445391895,junction
274,4868902.069030932,558856.7726263005,junction
275,4868909.289561161,558831.7118475732,junction
276,4868910.628285007,558785.4154992788,junction
277,4868910.88072272,558744.40655525,junction
278,4868927.4868384255,558732.4589655898,junction
279,4868932.845085375,558715.0844443403,junction
280,4868934.785646901,558692.8487892147,junction
281,4868935.4723640075,558668.8285011493,junction
282,4868935.708289103,558644.1651536963,junction
283,4868935.777229481,558611.0042264239,junction
284,4868939.020696202,558589.2331240613,junction
285,4868945.421305252,558569.3877167003,junction
286,4868951.512593534,558554.8654795585,junction
287,4868953.789609104,558519.40655525,junction
288,4868960.385401559,558494.2524713248,junction
289,4868965.561898177,558479.2715532942,junction
290,4868974.221547017,558456.5162009487,junction
291,4868985.3752423,558430.4610599625,junction
292,4868995.036728008,558402.0832771088,junction
293,4869000.435298488,558381.097604915,junction
294,4869007.179017478,558348.2871521519,junction
295,4869013.980420577,558331.2963304517,junction
296,4869020.705156228,558300.3182085325,junction
297,4869023.803714847,558280.4912228439,junction
298,4869031.47817275,558254.4319173723,junction
299,4869042.109023211,558229.3224049241,junction
300,4869050.251603412,558208.663979976,junction
301,4869054.581789279,558201.3116662088,junction
302,4869061.784606681,558178.3934879766,junction
303,4869077.187781026,558158.4599597463,junction
304,4869081.258723412,558155.4604978309,junction
305,4869099.670320728,558139.1770227465,junction
306,4869131.227960837,558121.1184167397,junction
307,4869176.629351141,558096.0290218246,junction
308,4868669.0,558011.0,inlet
309,4868680.781076681,558009.0268800692,junction
310,4868702.06818175,558006.1877437949,junction
311,4868725.370238131,558003.6408283665,junction
312,4868748.876810374,558001.4006867305,junction
313,4868796.594490575,557997.9772070315,junction
314,4868820.618234099,557996.5128223181,junction
315,4868842.2371833585,557992.9193635733,junction
316,4868855.857368357,557986.4269661554,junction
317,4868871.175867867,557980.2944437957,junction
318,4868884.481465047,557977.26441437,junction
319,4868907.06491803,557965.9777473713,junction
320,4868927.04970303,557956.2181271685,junction
321,4868948.552676664,557947.3083861711,junction
322,4868981.200581623,557935.6890093724,junction
323,4869013.578656683,557931.550358817,junction
324,4869025.384371959,557927.8166843909,junction
325,4869071.540911827,557922.729976477,junction
326,4869095.470066096,557921.235059694,junction
327,4869118.390943696,557918.9652148337,junction
328,4869140.823301199,557912.1528071921,junction
329,4869156.400829624,557907.424855432,junction
330,4869162.53930673,557903.2466059435,junction
331,4869182.270327216,557889.1437390029,junction
332,4869196.973948099,557878.9203810466,junction
333,4869204.1790105915,557873.8603923623,junction
334,4869225.596053468,557859.2642649218,junction
335,4869236.01996994,557853.1575403985,junction
336,4869250.954982345,557843.3874512234,junction
337,4869272.205093436,557831.6242133004,junction
338,4869278.472859723,557829.5948274158,junction
339,4869303.647649264,557816.5639136862,junction
340,4869319.921049409,557806.01314171,junction
341,4869329.633064305,557800.6485398604,junction
342,4869351.751351777,557780.7124988355,junction
343,4869402.633879506,557756.3675816155,junction
344,4869539.552742809,557731.2048228554,junction
345,4868811.0,557952.0,inlet
346,4868838.25519173,557948.3195032615,junction
347,4868862.566246173,557944.0963301158,junction
348,4868884.608903056,557939.2907913432,junction
349,4868901.367945933,557932.3145682502,junction
350,4868914.639697114,557929.4956382329,junction
351,4868925.20608066,557926.8860943036,junction
352,4868948.751107593,557922.8706966504,junction
353,4868986.550244678,557919.8959612977,junction
354,4867230.0,558515.0,inlet
355,4867254.340789029,558518.5476947597,junction
356,4867278.14325208,558525.3123082852,junction
357,4867299.989402498,558528.7890966809,junction
358,4867318.38213896,558533.3500041941,junction
359,4867330.386192378,558536.9537432386,junction
360,4867357.184956348,558543.6392508161,junction
361,4867380.062869335,558549.1584221658,junction
