id,x,y,type,z,is_conduit
219,558488.350473112,4868847.079644086,junction,0.0,True
220,558538.350473112,4868847.079644086,junction,0.0,True
221,558038.350473112,4868897.079644086,junction,0.0,True
222,558138.350473112,4868897.079644086,junction,0.0,True
223,558438.350473112,4868897.079644086,junction,0.0,True
224,558038.350473112,4868947.079644086,junction,0.0,True
225,558138.350473112,4868947.079644086,junction,0.0,True
226,558388.350473112,4868947.079644086,junction,0.0,True
227,558038.350473112,4868997.079644086,junction,0.0,True
228,558138.350473112,4868997.079644086,junction,0.0,True
229,558338.350473112,4868997.079644086,junction,0.0,True
230,558038.350473112,4869047.079644086,junction,0.0,True
231,558088.350473112,4869047.079644086,junction,0.0,True
232,558238.350473112,4869047.079644086,junction,0.0,True
233,558288.350473112,4869047.079644086,junction,0.0,True
234,558038.350473112,4869097.079644086,junction,0.0,True
235,558138.350473112,4869097.079644086,junction,0.0,True
236,558188.350473112,4869097.079644086,junction,0.0,True
237,557988.350473112,4869147.079644086,junction,0.0,True
238,558088.350473112,4869147.079644086,junction,0.0,True
239,557938.350473112,4869197.079644086,junction,0.0,True
240,557988.350473112,4869197.079644086,junction,0.0,True
241,558038.350473112,4869197.079644086,junction,0.0,True
242,557938.350473112,4869247.079644086,junction,0.0,True
243,557988.350473112,4869247.079644086,junction,0.0,True
244,557888.350473112,4869297.079644086,junction,0.0,True
245,557938.350473112,4869297.079644086,junction,0.0,True
246,557838.350473112,4869347.079644086,junction,0.0,True
247,557788.350473112,4869397.079644086,junction,0.0,True
248,557788.350473112,4869447.079644086,junction,0.0,True
249,558755.0171397786,4868463.746310753,junction,0.0,True
250,558771.6838064453,4868480.412977419,junction,0.0,True
251,557971.6838064453,4869263.746310753,junction,0.0,True
252,557955.0171397786,4869280.412977419,junction,0.0,True
253,558563.350473112,4868397.079644086,junction,0.0,True
254,558321.6838064453,4868413.746310753,junction,0.0,True
255,558305.0171397786,4868430.412977419,junction,0.0,True
256,558588.350473112,4868522.079644086,junction,0.0,True
257,558471.6838064453,4868413.746310753,junction,0.0,True
258,558455.0171397786,4868430.412977419,junction,0.0,True
259,558388.350473112,4868222.079644086,junction,0.0,True
260,558663.350473112,4868797.079644086,junction,0.0,True
261,558538.350473112,4867472.079644086,junction,0.0,True
262,558913.350473112,4868047.079644086,junction,0.0,True
263,559213.350473112,4868047.079644086,junction,0.0,True
264,559313.350473112,4868547.079644086,junction,0.0,True
265,558321.6838064453,4869013.746310753,junction,0.0,True
266,558305.0171397786,4869030.412977419,junction,0.0,True
267,558313.350473112,4868547.079644086,junction,0.0,True
268,558671.6838064453,4868663.746310753,junction,0.0,True
269,558655.0171397786,4868680.412977419,junction,0.0,True
270,558571.6838064453,4868313.746310753,junction,0.0,True
271,558555.0171397786,4868330.412977419,junction,0.0,True
272,558438.350473112,4868072.079644086,junction,0.0,True
273,558563.350473112,4868347.079644086,junction,0.0,True
274,558238.350473112,4868472.079644086,junction,0.0,True
275,558713.350473112,4868347.079644086,junction,0.0,True
276,558438.350473112,4868022.079644086,junction,0.0,True
277,559113.350473112,4868047.079644086,junction,0.0,True
278,559013.350473112,4868347.079644086,junction,0.0,True
279,559213.350473112,4868547.079644086,junction,0.0,True
280,558488.350473112,4867872.079644086,junction,0.0,True
281,558138.350473112,4868972.079644086,junction,0.0,True
282,559263.350473112,4868047.079644086,junction,0.0,True
283,558071.6838064453,4869163.746310753,junction,0.0,True
284,558055.0171397786,4869180.412977419,junction,0.0,True
285,559563.350473112,4868047.079644086,junction,0.0,True
286,560113.350473112,4868197.079644086,junction,0.0,True
287,558888.350473112,4868222.079644086,junction,0.0,True
288,559063.350473112,4868547.079644086,junction,0.0,True
289,559088.350473112,4867872.079644086,junction,0.0,True
290,558913.350473112,4868347.079644086,junction,0.0,True
291,558488.350473112,4867772.079644086,junction,0.0,True
292,558588.350473112,4868472.079644086,junction,0.0,True
293,559113.350473112,4868547.079644086,junction,0.0,True
294,559413.350473112,4868047.079644086,junction,0.0,True
295,558363.350473112,4868297.079644086,junction,0.0,True
296,559063.350473112,4868347.079644086,junction,0.0,True
297,559463.350473112,4868047.079644086,junction,0.0,True
298,559363.350473112,4868347.079644086,junction,0.0,True
299,558288.350473112,4868472.079644086,junction,0.0,True
300,560213.350473112,4868097.079644086,junction,0.0,True
301,558321.6838064453,4868163.746310753,junction,0.0,True
302,558305.0171397786,4868180.412977419,junction,0.0,True
303,558488.350473112,4868022.079644086,junction,0.0,True
304,559513.350473112,4868347.079644086,junction,0.0,True
305,559913.350473112,4868047.079644086,junction,0.0,True
306,558263.350473112,4869047.079644086,junction,0.0,True
