id,x,y,type,z,is_conduit
4264,558438.350473112,4867922.079644086,junction,0.0,True
4335,558721.6838064453,4868563.746310753,junction,0.0,True
4336,558705.0171397786,4868580.412977419,junction,0.0,True
4337,558688.350473112,4868597.079644086,junction,0.0,True
4338,558671.6838064453,4868613.746310753,junction,0.0,True
4339,558655.0171397786,4868630.412977419,junction,0.0,True
4343,558555.0171397786,4868363.746310753,junction,0.0,True
4344,558571.6838064453,4868380.412977419,junction,0.0,True
4345,558588.350473112,4868397.079644086,junction,0.0,True
4346,558605.0171397786,4868413.746310753,junction,0.0,True
4347,558621.6838064453,4868430.412977419,junction,0.0,True
4348,558038.350473112,4868872.079644086,junction,0.0,True
4349,558038.350473112,4868897.079644086,junction,0.0,True
4350,558038.350473112,4868922.079644086,junction,0.0,True
4361,558438.350473112,4867572.079644086,junction,0.0,True
4362,558438.350473112,4867597.079644086,junction,0.0,True
4363,558438.350473112,4867622.079644086,junction,0.0,True
4370,559163.350473112,4868247.079644086,junction,0.0,True
4371,559188.350473112,4868247.079644086,junction,0.0,True
4372,559213.350473112,4868247.079644086,junction,0.0,True
4400,558955.0171397786,4867963.746310753,junction,0.0,True
4401,558971.6838064453,4867980.412977419,junction,0.0,True
4402,558988.350473112,4867997.079644086,junction,0.0,True
4403,559005.0171397786,4868013.746310753,junction,0.0,True
4404,559021.6838064453,4868030.412977419,junction,0.0,True
4434,558663.350473112,4867947.079644086,junction,0.0,True
4435,558688.350473112,4867947.079644086,junction,0.0,True
4436,558713.350473112,4867947.079644086,junction,0.0,True
4445,558338.350473112,4868572.079644086,junction,0.0,True
4446,558338.350473112,4868597.079644086,junction,0.0,True
4447,558338.350473112,4868622.079644086,junction,0.0,True
4453,558138.350473112,4869172.079644086,junction,0.0,True
4454,558138.350473112,4869197.079644086,junction,0.0,True
4455,558138.350473112,4869222.079644086,junction,0.0,True
4456,558963.350473112,4868047.079644086,junction,0.0,True
4457,558988.350473112,4868047.079644086,junction,0.0,True
4458,559013.350473112,4868047.079644086,junction,0.0,True
4468,558438.350473112,4868572.079644086,junction,0.0,True
4469,558438.350473112,4868597.079644086,junction,0.0,True
4470,558438.350473112,4868622.079644086,junction,0.0,True
4471,558238.350473112,4868772.079644086,junction,0.0,True
4472,558238.350473112,4868797.079644086,junction,0.0,True
4473,558238.350473112,4868822.079644086,junction,0.0,True
4510,558763.350473112,4868547.079644086,junction,0.0,True
4511,558788.350473112,4868547.079644086,junction,0.0,True
4512,558813.350473112,4868547.079644086,junction,0.0,True
4529,557963.350473112,4868847.079644086,junction,0.0,True
4530,557988.350473112,4868847.079644086,junction,0.0,True
4531,558013.350473112,4868847.079644086,junction,0.0,True
4538,558263.350473112,4869047.079644086,junction,0.0,True
4539,558288.350473112,4869047.079644086,junction,0.0,True
4540,558313.350473112,4869047.079644086,junction,0.0,True
4547,558138.350473112,4868272.079644086,junction,0.0,True
4548,558138.350473112,4868297.079644086,junction,0.0,True
4549,558138.350473112,4868322.079644086,junction,0.0,True
4553,558238.350473112,4868272.079644086,junction,0.0,True
4554,558238.350473112,4868297.079644086,junction,0.0,True
4555,558238.350473112,4868322.079644086,junction,0.0,True
4583,558238.350473112,4868872.079644086,junction,0.0,True
4584,558238.350473112,4868897.079644086,junction,0.0,True
4585,558238.350473112,4868922.079644086,junction,0.0,True
4671,558863.350473112,4867947.079644086,junction,0.0,True
4672,558888.350473112,4867947.079644086,junction,0.0,True
4673,558913.350473112,4867947.079644086,junction,0.0,True
4682,559163.350473112,4868047.079644086,junction,0.0,True
4683,559188.350473112,4868047.079644086,junction,0.0,True
4684,559213.350473112,4868047.079644086,junction,0.0,True
4688,558638.350473112,4868572.079644086,junction,0.0,True
4689,558638.350473112,4868597.079644086,junction,0.0,True
4690,558638.350473112,4868622.079644086,junction,0.0,True
4722,558455.0171397786,4867763.746310753,junction,0.0,True
4723,558471.6838064453,4867780.412977419,junction,0.0,True
4724,558488.350473112,4867797.079644086,junction,0.0,True
4725,558505.0171397786,4867813.746310753,junction,0.0,True
4726,558521.6838064453,4867830.412977419,junction,0.0,True
4740,558163.350473112,4868847.079644086,junction,0.0,True
4741,558188.350473112,4868847.079644086,junction,0.0,True
4742,558213.350473112,4868847.079644086,junction,0.0,True
4765,558338.350473112,4868272.079644086,junction,0.0,True
4766,558338.350473112,4868297.079644086,junction,0.0,True
4767,558338.350473112,4868322.079644086,junction,0.0,True
4768,558638.350473112,4868372.079644086,junction,0.0,True
4769,558638.350473112,4868397.079644086,junction,0.0,True
4770,558638.350473112,4868422.079644086,junction,0.0,True
4777,559863.350473112,4868047.079644086,junction,0.0,True
4778,559888.350473112,4868047.079644086,junction,0.0,True
4779,559913.350473112,4868047.079644086,junction,0.0,True
4918,558755.0171397786,4868563.746310753,junction,0.0,True
4919,558771.6838064453,4868580.412977419,junction,0.0,True
4920,558788.350473112,4868597.079644086,junction,0.0,True
4921,558805.0171397786,4868613.746310753,junction,0.0,True
4922,558821.6838064453,4868630.412977419,junction,0.0,True
4985,558555.0171397786,4867963.746310753,junction,0.0,True
4986,558571.6838064453,4867980.412977419,junction,0.0,True
4987,558588.350473112,4867997.079644086,junction,0.0,True
4988,558605.0171397786,4868013.746310753,junction,0.0,True
4989,558621.6838064453,4868030.412977419,junction,0.0,True
5014,558555.0171397786,4868263.746310753,junction,0.0,True
5015,558571.6838064453,4868280.412977419,junction,0.0,True
5016,558588.350473112,4868297.079644086,junction,0.0,True
5017,558605.0171397786,4868313.746310753,junction,0.0,True
5018,558621.6838064453,4868330.412977419,junction,0.0,True
5038,558221.6838064453,4868863.746310753,junction,0.0,True
5039,558205.0171397786,4868880.412977419,junction,0.0,True
5040,558188.350473112,4868897.079644086,junction,0.0,True
5041,558171.6838064453,4868913.746310753,junction,0.0,True
5042,558155.0171397786,4868930.412977419,junction,0.0,True
5043,558021.6838064453,4868663.746310753,inlet,0.0,True
5044,558005.0171397786,4868680.412977419,junction,0.0,True
5045,557988.350473112,4868697.079644086,junction,0.0,True
5046,557971.6838064453,4868713.746310753,junction,0.0,True
5047,557955.0171397786,4868730.412977419,junction,0.0,True
5071,559363.350473112,4868247.079644086,junction,0.0,True
5072,559388.350473112,4868247.079644086,junction,0.0,True
5073,559413.350473112,4868247.079644086,junction,0.0,True
5096,558463.350473112,4868547.079644086,junction,0.0,True
