from_id,to_id,x_0,y_0,z_0,x_1,y_1,z_1
267,268,558605.0171397786,4868313.746310753,0.0,558621.6838064453,4868330.412977419,0.0
268,73,558621.6838064453,4868330.412977419,0.0,558638.350473112,4868347.079644086,0.0
187,269,558138.350473112,4868947.079644086,0.0,558138.350473112,4868972.079644086,0.0
269,192,558138.350473112,4868972.079644086,0.0,558138.350473112,4868997.079644086,0.0
126,270,558888.350473112,4868547.079644086,0.0,558871.6838064453,4868563.746310753,0.0
270,271,558871.6838064453,4868563.746310753,0.0,558855.0171397786,4868580.412977419,0.0
271,141,558855.0171397786,4868580.412977419,0.0,558838.350473112,4868597.079644086,0.0
149,272,558538.350473112,4868647.079644086,0.0,558563.350473112,4868647.079644086,0.0
272,150,558563.350473112,4868647.079644086,0.0,558588.350473112,4868647.079644086,0.0
204,273,558088.350473112,4869147.079644086,0.0,558071.6838064453,4869163.746310753,0.0
273,274,558071.6838064453,4869163.746310753,0.0,558055.0171397786,4869180.412977419,0.0
274,208,558055.0171397786,4869180.412977419,0.0,558038.350473112,4869197.079644086,0.0
129,275,559038.350473112,4868547.079644086,0.0,559063.350473112,4868547.079644086,0.0
275,130,559063.350473112,4868547.079644086,0.0,559088.350473112,4868547.079644086,0.0
177,276,558138.350473112,4868847.079644086,0.0,558138.350473112,4868872.079644086,0.0
276,183,558138.350473112,4868872.079644086,0.0,558138.350473112,4868897.079644086,0.0
89,277,559138.350473112,4868397.079644086,0.0,559121.6838064453,4868413.746310753,0.0
277,278,559121.6838064453,4868413.746310753,0.0,559105.0171397786,4868430.412977419,0.0
278,98,559105.0171397786,4868430.412977419,0.0,559088.350473112,4868447.079644086,0.0
10,279,558488.350473112,4867747.079644086,0.0,558488.350473112,4867772.079644086,0.0
279,12,558488.350473112,4867772.079644086,0.0,558488.350473112,4867797.079644086,0.0
202,280,557938.350473112,4869147.079644086,0.0,557921.6838064453,4869163.746310753,0.0
280,281,557921.6838064453,4869163.746310753,0.0,557905.0171397786,4869180.412977419,0.0
281,205,557905.0171397786,4869180.412977419,0.0,557888.350473112,4869197.079644086,0.0
94,282,558588.350473112,4868447.079644086,0.0,558588.350473112,4868472.079644086,0.0
282,103,558588.350473112,4868472.079644086,0.0,558588.350473112,4868497.079644086,0.0
130,283,559088.350473112,4868547.079644086,0.0,559113.350473112,4868547.079644086,0.0
283,131,559113.350473112,4868547.079644086,0.0,559138.350473112,4868547.079644086,0.0
205,284,557888.350473112,4869197.079644086,0.0,557871.6838064453,4869213.746310753,0.0
284,285,557871.6838064453,4869213.746310753,0.0,557855.0171397786,4869230.412977419,0.0
285,209,557855.0171397786,4869230.412977419,0.0,557838.350473112,4869247.079644086,0.0
147,286,558438.350473112,4868647.079644086,0.0,558463.350473112,4868647.079644086,0.0
286,148,558463.350473112,4868647.079644086,0.0,558488.350473112,4868647.079644086,0.0
11,287,558538.350473112,4867747.079644086,0.0,558538.350473112,4867772.079644086,0.0
287,13,558538.350473112,4867772.079644086,0.0,558538.350473112,4867797.079644086,0.0
32,288,558538.350473112,4868097.079644086,0.0,558538.350473112,4868122.079644086,0.0
288,44,558538.350473112,4868122.079644086,0.0,558538.350473112,4868147.079644086,0.0
35,289,559888.350473112,4868097.079644086,0.0,559913.350473112,4868097.079644086,0.0
289,36,559913.350473112,4868097.079644086,0.0,559938.350473112,4868097.079644086,0.0
164,290,558188.350473112,4868747.079644086,0.0,558213.350473112,4868747.079644086,0.0
290,165,558213.350473112,4868747.079644086,0.0,558238.350473112,4868747.079644086,0.0
92,291,558288.350473112,4868447.079644086,0.0,558288.350473112,4868472.079644086,0.0
291,101,558288.350473112,4868472.079644086,0.0,558288.350473112,4868497.079644086,0.0
41,292,558338.350473112,4868147.079644086,0.0,558321.6838064453,4868163.746310753,0.0
292,293,558321.6838064453,4868163.746310753,0.0,558305.0171397786,4868180.412977419,0.0
293,46,558305.0171397786,4868180.412977419,0.0,558288.350473112,4868197.079644086,0.0
196,294,558238.350473112,4869047.079644086,0.0,558263.350473112,4869047.079644086,0.0
294,197,558263.350473112,4869047.079644086,0.0,558288.350473112,4869047.079644086,0.0
144,295,558288.350473112,4868647.079644086,0.0,558313.350473112,4868647.079644086,0.0
295,145,558313.350473112,4868647.079644086,0.0,558338.350473112,4868647.079644086,0.0
30,296,558388.350473112,4868097.079644086,0.0,558388.350473112,4868122.079644086,0.0
296,42,558388.350473112,4868122.079644086,0.0,558388.350473112,4868147.079644086,0.0
77,297,559188.350473112,4868347.079644086,0.0,559213.350473112,4868347.079644086,0.0
297,78,559213.350473112,4868347.079644086,0.0,559238.350473112,4868347.079644086,0.0
145,298,558338.350473112,4868647.079644086,0.0,558363.350473112,4868647.079644086,0.0
298,146,558363.350473112,4868647.079644086,0.0,558388.350473112,4868647.079644086,0.0
38,299,560038.350473112,4868097.079644086,0.0,560063.350473112,4868097.079644086,0.0
299,39,560063.350473112,4868097.079644086,0.0,560088.350473112,4868097.079644086,0.0
64,300,558638.350473112,4868297.079644086,0.0,558663.350473112,4868297.079644086,0.0
300,65,558663.350473112,4868297.079644086,0.0,558688.350473112,4868297.079644086,0.0
78,301,559238.350473112,4868347.079644086,0.0,559263.350473112,4868347.079644086,0.0
301,79,559263.350473112,4868347.079644086,0.0,559288.350473112,4868347.079644086,0.0
173,302,558288.350473112,4868797.079644086,0.0,558271.6838064453,4868813.746310753,0.0
302,303,558271.6838064453,4868813.746310753,0.0,558255.0171397786,4868830.412977419,0.0
303,179,558255.0171397786,4868830.412977419,0.0,558238.350473112,4868847.079644086,0.0
39,304,560088.350473112,4868097.079644086,0.0,560113.350473112,4868097.079644086,0.0
304,40,560113.350473112,4868097.079644086,0.0,560138.350473112,4868097.079644086,0.0
104,305,558788.350473112,4868497.079644086,0.0,558813.350473112,4868497.079644086,0.0
305,105,558813.350473112,4868497.079644086,0.0,558838.350473112,4868497.079644086,0.0
199,306,558038.350473112,4869097.079644086,0.0,558021.6838064453,4869113.746310753,0.0
306,307,558021.6838064453,4869113.746310753,0.0,558005.0171397786,4869130.412977419,0.0
307,203,558005.0171397786,4869130.412977419,0.0,557988.350473112,4869147.079644086,0.0
9,308,558538.350473112,4867697.079644086,0.0,558538.350473112,4867722.079644086,0.0
308,11,558538.350473112,4867722.079644086,0.0,558538.350473112,4867747.079644086,0.0
180,309,558388.350473112,4868847.079644086,0.0,558413.350473112,4868847.079644086,0.0
309,181,558413.350473112,4868847.079644086,0.0,558438.350473112,4868847.079644086,0.0
26,310,560188.350473112,4868047.079644086,0.0,560213.350473112,4868047.079644086,0.0
310,27,560213.350473112,4868047.079644086,0.0,560238.350473112,4868047.079644086,0.0
110,311,559238.350473112,4868497.079644086,0.0,559263.350473112,4868497.079644086,0.0
311,111,559263.350473112,4868497.079644086,0.0,559288.350473112,4868497.079644086,0.0
36,312,559938.350473112,4868097.079644086,0.0,559963.350473112,4868097.079644086,0.0
312,37,559963.350473112,4868097.079644086,0.0,559988.350473112,4868097.079644086,0.0
151,313,558638.350473112,4868647.079644086,0.0,558663.350473112,4868647.079644086,0.0
313,152,558663.350473112,4868647.079644086,0.0,558688.350473112,4868647.079644086,0.0
8,314,558538.350473112,4867647.079644086,0.0,558538.350473112,4867672.079644086,0.0
314,9,558538.350473112,4867672.079644086,0.0,558538.350473112,4867697.079644086,0.0
104,315,558788.350473112,4868497.079644086,0.0,558771.6838064453,4868513.746310753,0.0
315,316,558771.6838064453,4868513.746310753,0.0,558755.0171397786,4868530.412977419,0.0
316,123,558755.0171397786,4868530.412977419,0.0,558738.350473112,4868547.079644086,0.0
133,317,558138.350473112,4868597.079644086,0.0,558121.6838064453,4868613.746310753,0.0
317,318,558121.6838064453,4868613.746310753,0.0,558105.0171397786,4868630.412977419,0.0
318,142,558105.0171397786,4868630.412977419,0.0,558088.350473112,4868647.079644086,0.0
163,319,558038.350473112,4868747.079644086,0.0,558038.350473112,4868772.079644086,0.0
319,170,558038.350473112,4868772.079644086,0.0,558038.350473112,4868797.079644086,0.0
110,320,559238.350473112,4868497.079644086,0.0,559221.6838064453,4868513.746310753,0.0
320,321,559221.6838064453,4868513.746310753,0.0,559205.0171397786,4868530.412977419,0.0
321,132,559205.0171397786,4868530.412977419,0.0,559188.350473112,4868547.079644086,0.0
167,322,558338.350473112,4868747.079644086,0.0,558338.350473112,4868772.079644086,0.0
322,174,558338.350473112,4868772.079644086,0.0,558338.350473112,4868797.079644086,0.0
160,323,558338.350473112,4868697.079644086,0.0,558321.6838064453,4868713.746310753,0.0
323,324,558321.6838064453,4868713.746310753,0.0,558305.0171397786,4868730.412977419,0.0
324,166,558305.0171397786,4868730.412977419,0.0,558288.350473112,4868747.079644086,0.0
137,325,558588.350473112,4868597.079644086,0.0,558571.6838064453,4868613.746310753,0.0
325,326,558571.6838064453,4868613.746310753,0.0,558555.0171397786,4868630.412977419,0.0
326,149,558555.0171397786,4868630.412977419,0.0,558538.350473112,4868647.079644086,0.0
14,327,558488.350473112,4867847.079644086,0.0,558471.6838064453,4867863.746310753,0.0
327,328,558471.6838064453,4867863.746310753,0.0,558455.0171397786,4867880.412977419,0.0
328,16,558455.0171397786,4867880.412977419,0.0,558438.350473112,4867897.079644086,0.0
105,329,558838.350473112,4868497.079644086,0.0,558863.350473112,4868497.079644086,0.0
329,106,558863.350473112,4868497.079644086,0.0,558888.350473112,4868497.079644086,0.0
175,330,558488.350473112,4868797.079644086,0.0,558471.6838064453,4868813.746310753,0.0
330,331,558471.6838064453,4868813.746310753,0.0,558455.0171397786,4868830.412977419,0.0
331,181,558455.0171397786,4868830.412977419,0.0,558438.350473112,4868847.079644086,0.0
2,332,558538.350473112,4867347.079644086,0.0,558538.350473112,4867372.079644086,0.0
332,3,558538.350473112,4867372.079644086,0.0,558538.350473112,4867397.079644086,0.0
60,333,558288.350473112,4868297.079644086,0.0,558288.350473112,4868322.079644086,0.0
333,70,558288.350473112,4868322.079644086,0.0,558288.350473112,4868347.079644086,0.0
111,334,559288.350473112,4868497.079644086,0.0,559313.350473112,4868497.079644086,0.0
334,112,559313.350473112,4868497.079644086,0.0,559338.350473112,4868497.079644086,0.0
93,335,558438.350473112,4868447.079644086,0.0,558421.6838064453,4868463.746310753,0.0
335,336,558421.6838064453,4868463.746310753,0.0,558405.0171397786,4868480.412977419,0.0
336,102,558405.0171397786,4868480.412977419,0.0,558388.350473112,4868497.079644086,0.0
28,337,560288.350473112,4868047.079644086,0.0,560313.350473112,4868047.079644086,0.0
114,338,559438.350473112,4868497.079644086,0.0,559463.350473112,4868497.079644086,0.0
338,115,559463.350473112,4868497.079644086,0.0,559488.350473112,4868497.079644086,0.0
83,339,558588.350473112,4868397.079644086,0.0,558588.350473112,4868422.079644086,0.0
339,94,558588.350473112,4868422.079644086,0.0,558588.350473112,4868447.079644086,0.0
140,340,558788.350473112,4868597.079644086,0.0,558771.6838064453,4868613.746310753,0.0
340,341,558771.6838064453,4868613.746310753,0.0,558755.0171397786,4868630.412977419,0.0
341,153,558755.0171397786,4868630.412977419,0.0,558738.350473112,4868647.079644086,0.0
7,342,558538.350473112,4867597.079644086,0.0,558538.350473112,4867622.079644086,0.0
342,8,558538.350473112,4867622.079644086,0.0,558538.350473112,4867647.079644086,0.0
138,343,558638.350473112,4868597.079644086,0.0,558663.350473112,4868597.079644086,0.0
343,139,558663.350473112,4868597.079644086,0.0,558688.350473112,4868597.079644086,0.0
144,344,558288.350473112,4868647.079644086,0.0,558288.350473112,4868672.079644086,0.0
344,159,558288.350473112,4868672.079644086,0.0,558288.350473112,4868697.079644086,0.0
62,345,558488.350473112,4868297.079644086,0.0,558488.350473112,4868322.079644086,0.0
345,71,558488.350473112,4868322.079644086,0.0,558488.350473112,4868347.079644086,0.0
215,346,557738.350473112,4869347.079644086,0.0,557738.350473112,4869372.079644086,0.0
346,217,557738.350473112,4869372.079644086,0.0,557738.350473112,4869397.079644086,0.0
202,347,557938.350473112,4869147.079644086,0.0,557938.350473112,4869172.079644086,0.0
347,206,557938.350473112,4869172.079644086,0.0,557938.350473112,4869197.079644086,0.0
188,348,558188.350473112,4868947.079644086,0.0,558171.6838064453,4868963.746310753,0.0
348,349,558171.6838064453,4868963.746310753,0.0,558155.0171397786,4868980.412977419,0.0
349,192,558155.0171397786,4868980.412977419,0.0,558138.350473112,4868997.079644086,0.0
84,350,558738.350473112,4868397.079644086,0.0,558738.350473112,4868422.079644086,0.0
350,95,558738.350473112,4868422.079644086,0.0,558738.350473112,4868447.079644086,0.0
101,351,558288.350473112,4868497.079644086,0.0,558288.350473112,4868522.079644086,0.0
351,119,558288.350473112,4868522.079644086,0.0,558288.350473112,4868547.079644086,0.0
57,352,559488.350473112,4868247.079644086,0.0,559471.6838064453,4868263.746310753,0.0
352,353,559471.6838064453,4868263.746310753,0.0,559455.0171397786,4868280.412977419,0.0
353,68,559455.0171397786,4868280.412977419,0.0,559438.350473112,4868297.079644086,0.0
41,354,558338.350473112,4868147.079644086,0.0,558338.350473112,4868172.079644086,0.0
354,47,558338.350473112,4868172.079644086,0.0,558338.350473112,4868197.079644086,0.0
57,355,559488.350473112,4868247.079644086,0.0,559513.350473112,4868247.079644086,0.0
355,58,559513.350473112,4868247.079644086,0.0,559538.350473112,4868247.079644086,0.0
155,356,558088.350473112,4868697.079644086,0.0,558113.350473112,4868697.079644086,0.0
356,156,558113.350473112,4868697.079644086,0.0,558138.350473112,4868697.079644086,0.0
69,357,558238.350473112,4868347.079644086,0.0,558221.6838064453,4868363.746310753,0.0
357,358,558221.6838064453,4868363.746310753,0.0,558205.0171397786,4868380.412977419,0.0
358,80,558205.0171397786,4868380.412977419,0.0,558188.350473112,4868397.079644086,0.0
178,359,558188.350473112,4868847.079644086,0.0,558171.6838064453,4868863.746310753,0.0
359,360,558171.6838064453,4868863.746310753,0.0,558155.0171397786,4868880.412977419,0.0
360,183,558155.0171397786,4868880.412977419,0.0,558138.350473112,4868897.079644086,0.0
99,361,558138.350473112,4868497.079644086,0.0,558138.350473112,4868522.079644086,0.0
361,117,558138.350473112,4868522.079644086,0.0,558138.350473112,4868547.079644086,0.0
19,362,558538.350473112,4867947.079644086,0.0,558538.350473112,4867972.079644086,0.0
362,22,558538.350473112,4867972.079644086,0.0,558538.350473112,4867997.079644086,0.0
54,363,558338.350473112,4868247.079644086,0.0,558338.350473112,4868272.079644086,0.0
