datetime,m3/d
2018-04-19,3275.8940700000003
2018-04-20,4077.3784104
2018-04-21,9359.669420261052
2018-04-22,13704.4427067
2018-04-23,11325.5701587
2018-04-24,8581.090123799999
2018-04-25,7271.8630686
2018-04-26,6297.032146500001
2018-04-27,5684.282995500001
2018-04-28,5052.805416
2018-04-29,4651.8164721
2018-04-30,4372.7153085
2018-05-01,4089.5581158
2018-05-02,4008.8066922
2018-05-03,4268.440015200001
2018-05-04,10518.8748093
2018-05-05,12121.9613271
2018-05-06,9231.1817706
2018-05-07,7550.5974552
2018-05-08,6407.915897700001
2018-05-09,5754.455075700001
2018-05-10,4974.9172281
2018-05-11,9792.675836100001
2018-05-12,16742.041249500002
2018-05-13,12430.1584179
2018-05-14,9767.3546133
2018-05-15,8249.5625796
2018-05-16,7253.2123434
2018-05-17,6578.1438327
2018-05-18,5952.1490586
2018-05-19,5473.1672298
2018-05-20,4894.7476878
2018-05-21,4530.6734751
2018-05-22,4180.3509915
2018-05-23,3940.2232758000005
2018-05-24,3699.9445617
2018-05-25,3464.739576
2018-05-26,3253.1686884000005
2018-05-27,3117.2790888
2018-05-28,3006.8129583000004
2018-05-29,2908.2979008
2018-05-30,2861.3213118000003
2018-05-31,2760.6518841600005
2018-06-01,2623.6592415
2018-06-02,2510.256231
2018-06-03,2427.8920236
2018-06-04,2369.041947
2018-06-05,2270.4711893999997
2018-06-06,2183.7980430000002
2018-06-07,2097.8753544
2018-06-08,2036.4183792000001
2018-06-09,1968.7580991000002
2018-06-10,1958.0183721
2018-06-11,1953.7224813
2018-06-12,1938.0035375999998
2018-06-13,1892.1811103999999
2018-06-14,1890.0982728
2018-06-15,1911.2167997999998
2018-06-16,1929.6721872
2018-06-17,1906.7932116
2018-06-18,2970.8500617000004
2018-06-19,3728.3990661000003
2018-06-20,5320.3739211
2018-06-21,8014.859719200001
2018-06-22,11400.408850500002
2018-06-23,8895.6881577
2018-06-24,7125.411945600001
2018-06-25,6156.582656400001
2018-06-26,9105.5476521
2018-06-27,20158.8760494
2018-06-28,14212.4841828
2018-06-29,10562.5138635
2018-06-30,9063.6252354
2018-07-01,8500.5722196
2018-07-02,7400.4010686
2018-07-03,6888.213615600001
2018-07-04,6388.1646912
2018-07-05,5804.195947200001
2018-07-06,5308.4502315
2018-07-07,4945.0474782
2018-07-08,4627.010205
2018-07-09,4314.3281397
2018-07-10,4062.3300008999995
2018-07-11,3765.1955607
2018-07-12,4156.1344899000005
2018-07-13,4213.864944
2018-07-14,3823.9693254
2018-07-15,3534.0796656
2018-07-16,3325.6444221
2018-07-17,3114.6618177
2018-07-18,2882.0927816999997
2018-07-19,2764.9863738
2018-07-20,2679.8579028
2018-07-21,2556.5603552999996
2018-07-22,2447.2080189
2018-07-23,2409.8849090999997
2018-07-24,2339.907498
2018-07-25,2323.2767382
2018-07-26,2292.800229
2018-07-27,2226.0111444
2018-07-28,2175.9836508000003
2018-07-29,2103.4094553
2018-07-30,1900.8688536
2018-07-31,1732.462821
2018-08-01,1654.2478826999998
2018-08-02,1621.0554498
2018-08-03,1604.0338181999998
2018-08-04,1705.7740356000002
