date,S_m,R_o_m,R_h_m,Q_l,Q_h,R_h
2019-02-24,0.0,22468.4798490513,2704.4277128000003,30622.878058181108,27825.801870446,2704.4277128000003
2019-02-25,0.0,0.0,0.0,21436.01464072678,25269.886978558312,0.0
2019-02-26,0.0,544.9036800672677,117.58381360000001,15168.681352528925,21276.43825358656,117.58381360000001
2019-02-27,0.0,741.5825793845544,117.58381360000001,10840.551720585614,17149.117165826177,117.58381360000001
2019-02-28,0.0,0.0,0.0,7588.38620440993,13324.82478125968,0.0
2019-03-01,0.0,16635.967985675852,1881.3410176000002,10302.660738789706,12868.495571311689,1881.3410176000002
2019-03-02,0.0,0.0,0.0,7211.862517152795,10605.842349648132,0.0
2019-03-03,0.0,0.0,0.0,5048.303762006956,8382.826914591662,0.0
2019-03-04,0.0,0.0,0.0,3533.81263340487,6443.221202116944,0.0
2019-03-05,0.0,0.0,0.0,2473.6688433834092,4855.40025862353,0.0
2019-03-06,0.0,0.0,0.0,1731.5681903683862,3605.8674313214724,0.0
2019-03-07,0.0,0.0,0.0,1212.0977332578702,2648.3595520960316,0.0
2019-03-08,0.0,0.0,0.0,848.4684132805093,1928.403096569823,0.0
2019-03-09,0.0,38251.85736649554,4350.601103200001,12069.485099245017,7725.076338919902,4350.601103200001
2019-03-10,0.0,0.0,117.58381360000001,8448.639569471512,8061.535156580546,117.58381360000001
2019-03-11,0.0,0.0,0.0,5914.047698630059,7202.540173400351,0.0
2019-03-12,0.0,70937.97215339323,7878.1155112000015,25421.225035059007,17641.260322543818,7878.1155112000015
2019-03-13,0.0,8940.260934787011,823.0866952000001,20476.935804977413,19104.765193597254,823.0866952000001
2019-03-14,0.0,18911.700470464504,2116.5086447999997,20007.36520462354,20312.408655927768,2116.5086447999997
2019-03-15,0.0,0.0,0.0,14005.15564323648,17789.50745085125,0.0
2019-03-16,0.0,0.0,0.0,9803.608950265536,14595.148050616965,0.0
2019-03-17,0.0,0.0,0.0,6862.526265185874,11502.09933644453,0.0
2019-03-18,0.0,0.0,0.0,4803.768385630112,8822.766956118763,0.0
2019-03-19,0.0,0.0,0.0,3362.6378699410784,6638.715321647687,0.0
2019-03-20,0.0,0.0,0.0,2353.846508958755,4924.767796572115,0.0
2019-03-21,0.0,0.0,0.0,1647.6925562711285,3613.93770045172,0.0
2019-03-22,0.0,0.0,0.0,1153.3847893897898,2629.7165360269482,0.0
2019-03-23,0.0,0.0,0.0,807.3693525728529,1900.7776626453099,0.0
2019-03-24,0.0,0.0,117.58381360000001,565.1585468009971,1413.5635417475848,117.58381360000001
2019-03-25,0.0,0.0,0.0,395.61098276069794,1006.38251815283,0.0
2019-03-26,0.0,0.0,0.0,276.9276879324886,714.6005860646935,0.0
2019-03-27,0.0,0.0,0.0,193.849381552742,506.30010425991287,0.0
2019-03-28,0.0,0.0,0.0,135.6945670869194,358.05788939071545,0.0
2019-03-29,0.0,0.0,0.0,94.98619696084357,252.8292124187667,0.0
2019-03-30,0.0,0.0,0.0,66.4903378725905,178.29366260029622,0.0
2019-03-31,0.0,0.0,0.0,46.54323651081335,125.59349216450308,0.0
2019-04-01,0.0,0.0,0.0,32.58026555756934,88.38820152172958,0.0
2019-04-02,0.0,0.0,1175.838136,22.806185890298543,532.4906496691573,1175.838136
2019-04-03,0.0,0.0,0.0,15.964330123208981,325.88012185077787,0.0
2019-04-04,0.0,3127.4977003492068,823.0866952000001,949.4243411910082,904.5324876668701,823.0866952000001
2019-04-05,0.0,0.0,0.0,664.5970388337058,808.5583081336044,0.0
2019-04-06,0.0,11746.6012076447,1411.0057632,3989.1982894770035,2645.216605950964,1411.0057632
2019-04-07,0.0,15630.955056897083,2469.2600856,7481.725319703027,5567.52412569179,2469.2600856
2019-04-08,0.0,0.0,0.0,5237.207723792119,5435.397564931922,0.0
2019-04-09,0.0,0.0,0.0,3666.045406654484,4727.6567016209465,0.0
2019-04-10,0.0,50333.91811987094,5996.774493600001,17666.40722061942,12301.866706660338,5996.774493600001
2019-04-11,0.0,58081.30802768259,6819.8611888000005,29790.877462738372,22025.415484611553,6819.8611888000005
2019-04-12,0.0,0.0,117.58381360000001,20853.614223916862,21603.728505773674,117.58381360000001
2019-04-13,0.0,0.0,117.58381360000001,14597.529956741802,18848.282611600924,117.58381360000001
2019-04-14,0.0,0.0,0.0,10218.270969719262,15396.27795484826,0.0
2019-04-15,0.0,0.0,0.0,7152.789678803483,12098.882644430349,0.0
2019-04-16,0.0,0.0,352.7514408,5006.952775162438,9403.211273043185,352.7514408
2019-04-17,0.0,117346.72554567776,13169.387123200002,38708.884606317035,26393.23545563273,13169.387123200002
2019-04-18,0.0,0.0,235.16762720000003,27096.219224421922,26768.496014028406,235.16762720000003
2019-04-19,0.0,0.0,0.0,18967.35345709535,23648.03899125518,0.0
2019-04-20,0.0,0.0,0.0,13277.147419966745,19499.682362739808,0.0
2019-04-21,0.0,0.0,0.0,9294.003193976721,15417.41069523457,0.0
2019-04-22,0.0,15349.20120872911,2234.0924584,11110.562598402437,14588.308439861716,2234.0924584
2019-04-23,0.0,0.0,0.0,7777.393818881706,11863.942591469713,0.0
2019-04-24,0.0,0.0,0.0,5444.175673217194,9296.035824168704,0.0
2019-04-25,0.0,20983.404278151233,4115.433475999999,10105.944254697406,11266.172586780185,4115.433475999999
2019-04-26,0.0,0.0,0.0,7074.160978288185,9589.367943383384,0.0
2019-04-27,0.0,26185.799314931875,3645.0982215999998,12807.65247928129,12334.721046382547,3645.0982215999998
2019-04-28,0.0,0.0,0.0,8965.356735496904,10986.975322028291,0.0
2019-04-29,0.0,0.0,352.7514408,6275.749714847832,9243.585655476107,352.7514408
2019-04-30,0.0,23844.93974705552,3174.7629672000003,11546.50672451014,11434.659269969721,3174.7629672000003
2019-05-01,0.0,6440.343051978603,1175.838136,10014.65762275068,11336.993865482104,1175.838136
2019-05-02,0.0,0.0,0.0,7010.260335925475,9606.300453659453,0.0
2019-05-03,0.0,0.0,0.0,4907.182235147832,7726.653166254805,0.0
2019-05-04,0.0,0.0,470.33525440000005,3435.027564603483,6198.137027354276,470.33525440000005
2019-05-05,0.0,0.0,0.0,2404.519295222438,4680.689934501541,0.0
2019-05-06,0.0,0.0,470.33525440000005,1683.1635066557067,3669.8134651232076,470.33525440000005
2019-05-07,0.0,0.0,0.0,1178.2144546589948,2673.1738609375225,0.0
2019-05-08,0.0,123817.61747992568,14227.6414456,37970.035362238996,22482.97503969811,14227.6414456
2019-05-09,0.0,0.0,352.7514408,26579.0247535673,24262.49550156579,352.7514408
2019-05-10,0.0,0.0,0.0,18605.317327497112,21999.624231938316,0.0
2019-05-11,0.0,0.0,0.0,13023.722129247979,18409.263390862183,0.0
2019-05-12,0.0,0.0,0.0,9116.605490473585,14692.200230706743,0.0
2019-05-13,0.0,0.0,0.0,6381.623843331508,11367.969675756649,0.0
2019-05-14,0.0,0.0,0.0,4467.136690332056,8607.636481586811,0.0
2019-05-15,0.0,0.0,235.16762720000003,3126.995683232439,6509.447213125062,235.16762720000003
2019-05-16,0.0,0.0,117.58381360000001,2188.8969782627073,4828.26064462012,117.58381360000001
2019-05-17,0.0,109887.61208748177,13169.387123200002,34498.511511028424,21964.115840463448,13169.387123200002
2019-05-18,0.0,53676.68197243184,7055.028816,40251.96264944945,32101.266090457848,7055.028816
2019-05-19,0.0,191312.34168697183,22340.924584,85570.07636070615,62425.160032157175,22340.924584
2019-05-20,0.0,0.0,0.0,59899.05345249431,61414.71740029203,0.0
2019-05-21,0.0,39858.819431715914,5644.0230528,53886.983246260796,60661.23295979954,5644.0230528
2019-05-22,0.0,0.0,117.58381360000001,37720.88827238256,51532.128610272746,117.58381360000001
2019-05-23,0.0,0.0,0.0,26404.621790667796,41481.125882430766,0.0
2019-05-24,0.0,42757.495392958706,5408.855425600001,31310.483871355067,39576.41124824049,5408.855425600001
2019-05-25,0.0,0.0,0.0,21917.338709948548,32512.782232923713,0.0
2019-05-26,0.0,0.0,0.0,15342.137096963983,25644.524178539825,0.0
2019-05-27,0.0,350896.8355785708,39155.40992880001,116008.54664144602,77452.29713522231,39155.40992880001
2019-05-28,0.0,0.0,117.58381360000001,81205.98264901222,79000.80486617827,117.58381360000001
2019-05-29,0.0,0.0,705.5028816,56844.18785430855,70420.35921407037,705.5028816
2019-05-30,0.0,0.0,0.0,39790.93149801598,58168.588127648625,0.0
2019-05-31,0.0,0.0,0.0,27853.652048611188,46042.61369603365,0.0
2019-06-01,0.0,0.0,0.0,19497.556434027832,35424.59079123132,0.0
2019-06-02,0.0,0.0,0.0,13648.289503819482,26714.070276266582,0.0
2019-06-03,0.0,0.0,0.0,9553.802652673638,19849.963226829404,0.0
2019-06-04,0.0,55133.95644893734,7172.6126296,23227.848791552744,24070.16250455874,7172.6126296
2019-06-05,0.0,0.0,0.0,16259.494154086922,20945.895164370013,0.0
2019-06-06,0.0,0.0,0.0,11381.645907860844,17120.195461766343,0.0
2019-06-07,0.0,0.0,0.0,7967.152135502591,13458.978131260843,0.0
2019-06-08,0.0,0.0,0.0,5577.006494851813,10306.189476697231,0.0
2019-06-09,0.0,0.0,117.58381360000001,3903.90454639627,7792.309030016847,117.58381360000001
2019-06-10,0.0,0.0,0.0,2732.7331824773887,5768.478691001063,0.0
2019-06-11,0.0,20368.692717701542,2822.0115264,8023.521043044635,7799.300242378493,2822.0115264
2019-06-12,0.0,15514.251742939305,3645.0982215999998,10270.740253013035,10245.91553527231,3645.0982215999998
2019-06-13,0.0,0.0,0.0,7189.518177109124,9023.356592007034,0.0
2019-06-14,0.0,0.0,117.58381360000001,5032.6627239763875,7474.112570234775,117.58381360000001
2019-06-15,0.0,126615.3133478481,14345.2252592,41507.4579111379,26825.540810276023,14345.2252592
2019-06-16,0.0,0.0,0.0,29055.22053779653,27717.412701284222,0.0
2019-06-17,0.0,0.0,117.58381360000001,20338.65437645757,24812.942896793564,117.58381360000001
2019-06-18,0.0,0.0,0.0,14237.058063520299,20582.588963484257,0.0
2019-06-19,0.0,0.0,0.0,9965.94064446421,16335.929635876237,0.0
2019-06-20,0.0,2181.5982002456885,823.0866952000001,7630.6379111986535,13183.047624085204,823.0866952000001
2019-06-21,0.0,0.0,117.58381360000001,5341.446537839057,10093.440715026745,117.58381360000001
2019-06-22,0.0,0.0,117.58381360000001,3739.0125764873405,7598.702985050983,117.58381360000001
2019-06-23,0.0,23486.162316256115,3409.9305944000002,9663.157498417973,9788.45702815778,3409.9305944000002
2019-06-24,0.0,23022.512116783226,4115.433475999999,13670.963883927549,12987.633160865687,4115.433475999999
2019-06-25,0.0,0.0,0.0,9569.674718749282,11620.449784019125,0.0
2019-06-26,0.0,0.0,0.0,6698.772303124499,9651.778791661272,0.0
2019-06-27,0.0,68639.26175423985,8583.618392800001,25280.919138459107,19336.882287500408,8583.618392800001
2019-06-28,0.0,505736.7421847147,57616.068664,169417.6660523358,102415.62325903456,57616.068664
2019-06-29,0.0,0.0,0.0,118592.36623663508,108886.32045007477,0.0
2019-06-30,0.0,18919.239317126157,3645.0982215999998,88690.4281607824,102266.00282299782,3645.0982215999998
2019-07-01,0.0,81471.89819362324,10112.2079696,86524.86917063466,100014.43254989256,10112.2079696
2019-07-02,0.0,0.0,0.0,60567.408419444255,84235.62289771324,0.0
2019-07-03,0.0,81041.80084958558,10935.2946648,66709.72614848666,81599.38206394261,10935.2946648
2019-07-04,0.0,0.0,0.0,46696.80830394066,67638.35255994182,0.0
2019-07-05,0.0,88045.7035054209,11875.965173600001,59101.476864384735,68973.98835115899,11875.965173600001
2019-07-06,0.0,0.0,0.0,41371.03380506932,57932.80653272312,0.0
2019-07-07,0.0,0.0,0.0,28959.723663548528,46343.573385053285,0.0
2019-07-08,0.0,0.0,0.0,20271.80656448397,35914.86665682555,0.0
2019-07-09,0.0,3598.401494311732,1646.1733904000002,15269.785043432297,28315.30336762825,1646.1733904000002
2019-07-10,0.0,0.0,705.5028816,10688.84953040261,21546.922985377998,705.5028816
2019-07-11,0.0,0.0,0.0,7482.194671281826,15921.031659739527,0.0
2019-07-12,0.0,0.0,0.0,5237.536269897279,11647.633503802628,0.0
2019-07-13,0.0,0.0,0.0,3666.2753889280957,8455.090257852815,0.0
2019-07-14,0.0,0.0,0.0,2566.392772249667,6099.611263611555,0.0
2019-07-15,0.0,132440.31247145624,17049.652971999996,41528.56868201164,27091.055419771583,17049.652971999996
2019-07-16,0.0,2382.233805509629,1998.9248312,29784.668219061034,28968.070471967363,1998.9248312
2019-07-17,0.0,0.0,0.0,20849.267753342727,25720.549384517508,0.0
2019-07-18,0.0,142031.9511065239,17637.57204,57204.07275929708,45368.98755042934,17637.57204
2019-07-19,0.0,6603.63892807869,3174.7629672000003,42023.94260993156,45300.87476111023,3174.7629672000003
2019-07-20,0.0,82354.89107070635,10347.3755968,54123.227148164,52968.76595465173,10347.3755968
2019-07-21,0.0,0.0,0.0,37886.2590037148,46935.76317427696,0.0
2019-07-22,0.0,0.0,0.0,26520.381302600355,38769.61042560631,0.0
2019-07-23,0.0,0.0,0.0,18564.26691182025,30687.473020091886,0.0
2019-07-24,0.0,0.0,0.0,12994.986838274173,23610.4785473648,0.0
2019-07-25,0.0,0.0,0.0,9096.490786791921,17804.883443135648,0.0
2019-07-26,0.0,0.0,0.0,6367.543550754345,13229.947486183124,0.0
2019-07-27,0.0,0.0,0.0,4457.280485528042,9720.88068592109,0.0
2019-07-28,0.0,2089.4875807708736,1293.4219496,3746.9426141008917,7848.674237033012,1293.4219496
2019-07-29,0.0,0.0,0.0,2622.8598298706243,5758.348474168057,0.0
2019-07-30,0.0,0.0,0.0,1836.0018809094372,4189.409836864608,0.0
