DATE,RCH[m3/s],RCH[m/day],m3/d,R_h
2018-04-10,0.034743108,0.000648338,3001.8045312,3198.065071617452
2018-04-11,0.032821448,0.000612478,2835.7731072,3075.950684279009
2018-04-12,0.03814202,0.000711765,3295.470528,3304.3533533439477
2018-04-13,0.032195124,0.00060079,2781.6587136,3010.2370235877947
2018-04-14,0.181562913,0.003388129,15687.0356832,10334.300932861504
2018-04-15,0.233275732,0.004353137,20155.023244800002,13630.436708020894
2018-04-16,0.074425474,0.001388847,6430.3609536,6720.821317185969
2018-04-17,0.08763234,0.001635299,7571.434176000001,7330.568603051934
2018-04-18,0.08738343,0.001630654,7549.928352,7352.031463584663
2018-04-19,0.081457568,0.001520072,7037.933875199999,7087.900176186809
2018-04-20,0.108591775,0.002026421,9382.32936,8417.210320384656
2018-04-21,0.065592716,0.00122402,5667.2106624,6434.709328298804
2018-04-22,0.0554492,0.001034732,4790.81088,5827.711639104971
2018-04-23,0.051686967,0.000964526,4465.7539488,5497.263082046276
2018-04-24,0.049055466,0.000915419,4238.3922624,5223.255642143797
2018-04-25,0.048128879,0.000898129,4158.3351456,5039.742212403666
2018-04-26,0.047212083,0.00088102,4079.1239712,4871.194853643153
2018-04-27,0.045107134,0.00084174,3897.2563776,4656.640401749111
2018-04-28,0.044243553,0.000825625,3822.6429792,4507.797001280236
2018-04-29,0.043365767,0.000809245,3746.8022688,4368.646233261003
2018-04-30,0.04028147,0.000751689,3480.319008,4129.692619580463
2018-05-01,0.038474266,0.000717965,3324.1765824,3949.779131367198
2018-05-02,0.038484402,0.000718154,3325.0523328,3862.6939522397897
2018-05-03,0.046523776,0.000868176,4019.6542464000004,4183.34721627022
2018-05-04,0.118662266,0.002214346,10252.4197824,7713.106556008389
2018-05-05,0.236518902,0.004413657,20435.2331328,13872.814017431214
2018-05-06,0.076300886,0.001423844,6592.3965504,6901.135841614845
2018-05-07,0.059603086,0.001112248,5149.7066304,6035.579086444766
2018-05-08,0.050743783,0.000946925,4384.2628512,5475.2539884544985
2018-05-09,0.048242351,0.000900246,4168.1391264,5199.324706102869
2018-05-10,0.113569365,0.002119307,9812.393136,8272.183510416467
2018-05-11,0.057460168,0.001072259,4964.5585152,5724.547124142162
2018-05-12,0.318687539,0.005946999,27534.6033696,18483.07428589826
2018-05-13,0.24204252,0.004516733,20912.473728,15975.674461904502
2018-05-14,0.116729721,0.002178282,10085.4478944,10495.421634005872
2018-05-15,0.120262596,0.002244209,10390.6882944,10612.01233846105
2018-05-16,0.08712987,0.001625922,7528.020767999999,8949.306482244503
2018-05-17,0.077270301,0.001441934,6676.1540064,8264.762428138274
2018-05-18,0.071746657,0.001338858,6198.911164800001,7770.3288293829155
2018-05-19,0.067559629,0.001260724,5837.1519456,7344.127601397306
2018-05-20,0.065589992,0.001223969,5666.9753088,7036.150326609683
2018-05-21,0.063191257,0.001179206,5459.7246048,6726.332922836327
2018-05-22,0.062685862,0.001169775,5416.0584768,6524.118065351242
2018-05-23,0.059001161,0.001101015,5097.7003104000005,6187.525568106068
2018-05-24,0.056879306,0.001061419,4914.3720384,5930.4529169872185
2018-05-25,0.055245181,0.001030925,4773.1836384,5707.724205985007
2018-05-26,0.054062528,0.001008856,4671.0024192,5518.645231579107
2018-05-27,0.055232635,0.001030691,4772.099664,5457.600667382032
2018-05-28,0.052087748,0.000972005,4500.3814272,5206.751131932548
2018-05-29,0.049065144,0.0009156,4239.2284416,4959.0021714779905
2018-05-30,0.04771803,0.000890462,4122.837792,4791.891179023072
2018-05-31,0.049651497,0.000926542,4289.8893408,4793.443087655842
2018-06-01,0.04925234,0.000919093,4255.402176,4703.287879160023
2018-06-02,0.044719229,0.000834501,3863.7413856,4417.337230189621
2018-06-03,0.043377938,0.000809472,3747.8538432,4273.777912779074
2018-06-04,0.042153127,0.000786616,3642.0301728,4139.829050910003
2018-06-05,0.040329097,0.000752578,3484.4339808,3980.3073785346032
2018-06-06,0.038248509,0.000713752,3304.6711776,3808.420305027759
2018-06-07,0.036128223,0.000674185,3121.4784672,3633.4755822598727
2018-06-08,0.035163429,0.000656181,3038.1202656,3514.28181123949
2018-06-09,0.045824794,0.000855132,3959.2622016,3972.670098369961
2018-06-10,0.172330579,0.003215845,14889.362025600001,10200.949892502167
2018-06-11,0.121823585,0.002273339,10525.557744,8369.959150623863
2018-06-12,0.064209326,0.001198204,5547.6857664,5834.355926464523
2018-06-13,0.057430204,0.0010717,4961.9696256,5460.363903799489
2018-06-14,0.052956546,0.000988217,4575.4455744,5170.269995667561
2018-06-15,0.049043787,0.000915202,4237.3831967999995,4894.299021458102
2018-06-16,0.044852018,0.000836979,3875.2143552,4595.894566293969
2018-06-17,0.042415212,0.000791506,3664.6743168000003,4374.9915148528125
2018-06-18,0.039981621,0.000746093,3454.4120544,4155.697617557419
2018-06-19,0.269205585,0.00502362,23259.362544000003,15346.339417787382
2018-06-20,0.114758394,0.002141496,9915.1252416,8847.947393089147
2018-06-21,0.340140991,0.006347339,29388.1816224,20096.99442893667
2018-06-22,0.258007292,0.00481465,22291.8300288,17352.840227669534
