,date,S_m,R_o_m,R_h_m,R_o (m3/d),R_h (m3/d)
876,2019-05-27,0.09559153625856873,0.010621281806507636,0.0084582,49168.9299263569,39155.40992880001
877,2019-05-28,0.08369745904414043,0.009299717671571159,2.54e-05,43051.03422152162,117.5838136
878,2019-05-29,0.07447517630380802,0.008275019589312002,0.00015240000000000002,38307.41578448862,705.5028816000001
879,2019-05-30,0.06462671552240681,0.007180746169156313,0.0,33241.71334893662,0.0
880,2019-05-31,0.05582194133506409,0.006202437926118232,0.0,28712.846652372315,0.0
881,2019-06-01,0.04705558628727197,0.0052283984763635515,0.0,24203.741412254167,0.0
882,2019-06-02,0.040402120615279466,0.00448912451280883,0.0,20781.43228115371,0.0
883,2019-06-03,0.03415536222885356,0.003795040247650396,0.0,17568.319097804015,0.0
884,2019-06-04,0.04135273271290698,0.004594748079211887,0.0015494,21270.393767126323,7172.6126296
885,2019-06-05,0.03251555028243261,0.0036128389202702903,0.0,16724.85740818453,0.0
886,2019-06-06,0.02606313974398527,0.0028959044159983633,0.0,13405.963978510566,0.0
887,2019-06-07,0.020947434396525515,0.0023274927107250574,0.0,10774.624765876137,0.0
888,2019-06-08,0.01684479445401582,0.00187164382822398,0.0,8664.370827696019,0.0
889,2019-06-09,0.014349119250246893,0.001594346583360766,2.54e-05,7380.68312880666,117.5838136
890,2019-06-10,0.011283611863997713,0.0012537346515553015,0.0,5803.893762690533,0.0
891,2019-06-11,0.014076205048210187,0.0015640227831344652,0.0006096000000000001,7240.305645599849,2822.0115264000005
892,2019-06-12,0.015655109425021824,0.0017394566027802026,0.0007874,8052.438619944747,3645.0982215999998
893,2019-06-13,0.012147747197621682,0.0013497496886246314,0.0,6248.374637554988,0.0
894,2019-06-14,0.009640153496635023,0.0010711281662927805,2.54e-05,4958.556482168508,117.5838136
895,2019-06-15,0.03304846393962458,0.003672051548847176,0.0030988,16998.96948225345,14345.2252592
896,2019-06-16,0.02886042263953967,0.0032067136266155194,0.0,14844.788084273197,0.0
897,2019-06-17,0.025175949952728562,0.002797327772525396,2.54e-05,12949.624700107455,117.5838136
898,2019-06-18,0.021375337174598563,0.002375037463844285,0.0,10994.722930774928,0.0
899,2019-06-19,0.01829934499509789,0.002033260555010877,0.0,9412.540555142972,0.0
900,2019-06-20,0.01688953798946565,0.0018766153321628503,0.0001778,8687.385331336169,823.0866952
901,2019-06-21,0.012254219439498679,0.0013615799377220755,2.54e-05,6303.1402204178,117.5838136
902,2019-06-22,0.007906949054732484,0.000878549894970276,2.54e-05,4067.0569719875793,117.5838136
903,2019-06-23,0.011637289052116377,0.0012930321169018198,0.0007366,5985.812890259724,3409.9305944000002
904,2019-06-24,0.014905347199965963,0.0016561496888851072,0.0008889999999999999,7666.787256360804,4115.433475999999
905,2019-06-25,0.008873755435071408,0.0009859728261190452,0.0,4564.348228387678,0.0
906,2019-06-26,0.004802599842584676,0.0005336222047316307,0.0,2470.288734408862,0.0
907,2019-06-27,0.01753487762485682,0.0019483197360952024,0.0018542,9019.325381189743,8583.618392800001
908,2019-06-28,0.11313065467869765,0.012570072742077519,0.012446,58190.436623735586,57616.068664
909,2019-06-29,0.09864816778388912,0.010960907531543235,0.0,50741.1538612526,0.0
910,2019-06-30,0.09242530064468388,0.01026947784940932,0.0007874,47540.329496624974,3645.0982215999998
911,2019-07-01,0.09886545763327671,0.010985050848141859,0.0021844,50852.92013048953,10112.2079696
912,2019-07-02,0.08501267578831638,0.009445852865368488,0.0,43727.53553600449,0.0
913,2019-07-03,0.09211130598907659,0.010234589554341844,0.0023622,47378.821670481826,10935.2946648
914,2019-07-04,0.07839847442690362,0.008710941602989292,0.0,40325.42258765268,0.0
915,2019-07-05,0.08750670331074387,0.009722967034527097,0.0025654000000000002,45010.37572546374,11875.965173600001
916,2019-07-06,0.07478916212252663,0.008309906902502958,0.0,38468.919065246504,0.0
917,2019-07-07,0.06340647173884541,0.007045163526538379,0.0,32614.06279078769,0.0
918,2019-07-08,0.05258649943843025,0.005842944382047806,0.0,27048.648940703795,0.0
919,2019-07-09,0.04802069691336274,0.005335632990373638,0.0003556,24700.160432208835,1646.1733904
920,2019-07-10,0.04063844727100606,0.004515383030111785,0.00015240000000000002,20902.990415168006,705.5028816000001
921,2019-07-11,0.031123658282680964,0.0034581842536312185,0.0,16008.917034386941,0.0
922,2019-07-12,0.02424297937686185,0.002693664375206872,0.0,12469.73739351517,0.0
923,2019-07-13,0.017432795267747093,0.0019369772519718992,0.0,8966.81780091748,0.0
