from_id,to_id,x_0,y_0,z_0,x_1,y_1,z_1
167,343,558638.350473112,4868647.079644086,0.0,558663.350473112,4868647.079644086,0.0
343,168,558663.350473112,4868647.079644086,0.0,558688.350473112,4868647.079644086,0.0
241,344,558138.350473112,4869247.079644086,0.0,558163.350473112,4869247.079644086,0.0
344,242,558163.350473112,4869247.079644086,0.0,558188.350473112,4869247.079644086,0.0
117,345,559688.350473112,4868397.079644086,0.0,559671.6838064453,4868413.746310753,0.0
345,346,559671.6838064453,4868413.746310753,0.0,559655.0171397786,4868430.412977419,0.0
346,143,559655.0171397786,4868430.412977419,0.0,559638.350473112,4868447.079644086,0.0
57,347,559638.350473112,4868047.079644086,0.0,559663.350473112,4868047.079644086,0.0
347,58,559663.350473112,4868047.079644086,0.0,559688.350473112,4868047.079644086,0.0
36,348,558588.350473112,4868047.079644086,0.0,558571.6838064453,4868063.746310753,0.0
348,349,558571.6838064453,4868063.746310753,0.0,558555.0171397786,4868080.412977419,0.0
349,75,558555.0171397786,4868080.412977419,0.0,558538.350473112,4868097.079644086,0.0
104,350,559888.350473112,4868297.079644086,0.0,559871.6838064453,4868313.746310753,0.0
350,351,559871.6838064453,4868313.746310753,0.0,559855.0171397786,4868330.412977419,0.0
351,112,559855.0171397786,4868330.412977419,0.0,559838.350473112,4868347.079644086,0.0
63,352,559938.350473112,4868047.079644086,0.0,559963.350473112,4868047.079644086,0.0
352,64,559963.350473112,4868047.079644086,0.0,559988.350473112,4868047.079644086,0.0
9,353,558438.350473112,4867697.079644086,0.0,558438.350473112,4867722.079644086,0.0
353,10,558438.350473112,4867722.079644086,0.0,558438.350473112,4867747.079644086,0.0
66,354,560088.350473112,4868047.079644086,0.0,560113.350473112,4868047.079644086,0.0
354,67,560113.350473112,4868047.079644086,0.0,560138.350473112,4868047.079644086,0.0
26,355,559138.350473112,4867897.079644086,0.0,559163.350473112,4867897.079644086,0.0
355,27,559163.350473112,4867897.079644086,0.0,559188.350473112,4867897.079644086,0.0
114,356,558388.350473112,4868397.079644086,0.0,558388.350473112,4868422.079644086,0.0
356,119,558388.350473112,4868422.079644086,0.0,558388.350473112,4868447.079644086,0.0
115,357,558688.350473112,4868397.079644086,0.0,558688.350473112,4868422.079644086,0.0
357,125,558688.350473112,4868422.079644086,0.0,558688.350473112,4868447.079644086,0.0
21,358,558938.350473112,4867847.079644086,0.0,558963.350473112,4867847.079644086,0.0
358,22,558963.350473112,4867847.079644086,0.0,558988.350473112,4867847.079644086,0.0
94,359,559438.350473112,4868247.079644086,0.0,559421.6838064453,4868263.746310753,0.0
359,360,559421.6838064453,4868263.746310753,0.0,559405.0171397786,4868280.412977419,0.0
360,103,559405.0171397786,4868280.412977419,0.0,559388.350473112,4868297.079644086,0.0
127,361,558788.350473112,4868447.079644086,0.0,558813.350473112,4868447.079644086,0.0
361,128,558813.350473112,4868447.079644086,0.0,558838.350473112,4868447.079644086,0.0
70,362,560288.350473112,4868047.079644086,0.0,560313.350473112,4868047.079644086,0.0
98,363,558338.350473112,4868297.079644086,0.0,558338.350473112,4868322.079644086,0.0
363,106,558338.350473112,4868322.079644086,0.0,558338.350473112,4868347.079644086,0.0
121,364,558488.350473112,4868447.079644086,0.0,558513.350473112,4868447.079644086,0.0
364,122,558513.350473112,4868447.079644086,0.0,558538.350473112,4868447.079644086,0.0
11,365,558538.350473112,4867747.079644086,0.0,558563.350473112,4867747.079644086,0.0
365,12,558563.350473112,4867747.079644086,0.0,558588.350473112,4867747.079644086,0.0
7,366,558488.350473112,4867597.079644086,0.0,558488.350473112,4867622.079644086,0.0
366,8,558488.350473112,4867622.079644086,0.0,558488.350473112,4867647.079644086,0.0
130,367,558938.350473112,4868447.079644086,0.0,558963.350473112,4868447.079644086,0.0
367,131,558963.350473112,4868447.079644086,0.0,558988.350473112,4868447.079644086,0.0
79,368,558438.350473112,4868147.079644086,0.0,558438.350473112,4868172.079644086,0.0
368,84,558438.350473112,4868172.079644086,0.0,558438.350473112,4868197.079644086,0.0
16,369,558738.350473112,4867797.079644086,0.0,558763.350473112,4867797.079644086,0.0
369,17,558763.350473112,4867797.079644086,0.0,558788.350473112,4867797.079644086,0.0
214,370,558238.350473112,4868997.079644086,0.0,558238.350473112,4869022.079644086,0.0
370,223,558238.350473112,4869022.079644086,0.0,558238.350473112,4869047.079644086,0.0
