Kh_0,Kh_1,Kv_0,Kv_1,C_spring,C_creek,success,mrsw_head,mrsw_error,bs_q,bs_error,head_above_surface_error,Kv_1_ss,Kv_0_ss,Kh_1_ss,Kh_0_ss,results_weighted_RMSE
8.1,2.1,1.1,3.1,150.0,6.0,True,381.4961978146105,0.9778874511278559,678.1071911826584,-5053.146311831036,48565.0,350.0,500.0,400.0,250.0,0.8840481448587294
9.1,1.1,3.1,3.1,250.0,4.0,True,382.06181143202696,1.5435010685442876,1364.975297232813,-4366.278205780881,59508.0,350.0,250.0,300.0,400.0,0.7659457079029114
7.1,2.1,7.1,2.1,250.0,7.0,True,381.489399919401,0.9710895559183541,1032.1644233150291,-4699.089079698665,45189.0,350.0,450.0,300.0,400.0,0.8221089086413857
6.1,2.1,2.1,0.1,100.0,5.0,True,382.5932903957456,2.0749800322629426,620.0457840842064,-5111.207718929488,66398.0,200.0,300.0,150.0,250.0,0.8961896899192795
4.1,4.1,8.1,4.1,250.0,3.0,False,,,,,,100.0,150.0,300.0,400.0,
5.1,1.1,1.1,2.1,150.0,5.0,True,382.9654340935067,2.447123730024032,1041.9039364565324,-4689.349566557162,70864.0,350.0,150.0,350.0,250.0,0.8236399291633889
7.1,3.1,7.1,4.1,100.0,2.0,True,384.0262907307289,3.507980367246205,939.8007649661232,-4791.452738047571,109938.0,200.0,400.0,400.0,450.0,0.8487569210673638
7.1,3.1,1.1,1.1,300.0,8.0,True,381.1813763929719,0.6630660294892436,846.6788315607846,-4884.57467145291,42277.0,250.0,450.0,150.0,150.0,0.8541237143649031
7.1,4.1,8.1,3.1,350.0,1.0,True,385.91766436036266,5.399353996879995,3345.07796611244,-2386.1755369012544,177868.0,250.0,250.0,250.0,150.0,0.4790449919886654
7.1,4.1,5.1,3.1,100.0,4.0,True,381.8887360208884,1.3704256574057467,534.3033907989302,-5196.950112214764,60790.0,300.0,100.0,200.0,200.0,0.9103767104591569
2.1,3.1,4.1,0.1,400.0,8.0,True,382.78700217601823,2.2686918125355646,2335.8613566059794,-3395.392146407715,73934.0,300.0,350.0,100.0,400.0,0.6005659502168997
7.1,0.1,7.1,3.1,250.0,6.0,False,,,,,,300.0,500.0,450.0,500.0,
8.1,3.1,9.1,2.1,500.0,8.0,True,380.3433751086959,-0.1749352547867602,1058.6894663319108,-4672.564036681783,39245.0,450.0,150.0,250.0,100.0,0.8169464414932368
0.1,1.1,3.1,3.1,500.0,7.0,True,386.9091251098173,6.390814746334627,3981.968578480824,-1749.2849245328698,397869.0,300.0,300.0,300.0,250.0,0.6110183686497644
7.1,1.1,5.1,0.1,200.0,7.0,True,382.0188503515229,1.5005399880402024,904.4599776751857,-4826.7935253385085,49907.0,350.0,400.0,300.0,100.0,0.8448078979257542
9.1,3.1,2.1,2.1,500.0,2.0,True,382.494029963576,1.9757196000933277,2836.447324659355,-2894.806178354339,81417.0,200.0,200.0,400.0,150.0,0.5165897498667957
4.1,2.1,9.1,0.1,500.0,4.0,False,,,,,,450.0,300.0,500.0,100.0,
9.1,4.1,3.1,0.1,300.0,1.0,True,386.0162516954767,5.497941331994014,2747.7494185946125,-2983.5040844190817,189324.0,500.0,150.0,100.0,150.0,0.5784265444489431
8.1,4.1,9.1,2.1,250.0,10.0,True,379.3463549134051,-1.1719554500775757,486.8361918782612,-5244.417311135433,35410.0,300.0,150.0,100.0,400.0,0.9162717108515057
8.1,1.1,7.1,2.1,250.0,4.0,True,382.5528653919853,2.0345550285026093,1259.0732437172846,-4472.1802592964095,65342.0,400.0,400.0,150.0,100.0,0.7851552178629015
1.1,1.1,0.1,2.1,250.0,5.0,True,384.8971113013411,4.378800937858443,2487.611411557198,-3243.642091456496,277158.0,200.0,350.0,300.0,500.0,0.6754741570110628
3.1,3.1,9.1,2.1,200.0,4.0,True,383.254947336877,2.7366369733943543,1484.4540137002623,-4246.799489313432,80421.0,300.0,150.0,250.0,300.0,0.7487009869299414
2.1,1.1,6.1,2.1,300.0,7.0,True,383.3850315715888,2.866721208106128,1997.5861427036436,-3733.6673603100503,95698.0,450.0,350.0,300.0,150.0,0.6638122347155749
6.1,3.1,8.1,2.1,250.0,4.0,True,382.28461062602696,1.7663002625442914,1384.5851059400302,-4346.668397073664,63232.0,450.0,250.0,300.0,150.0,0.7630756854722514
6.1,4.1,8.1,0.1,200.0,6.0,True,381.8838178140613,1.3655074505786047,816.3910944496747,-4914.86240856402,54479.0,500.0,250.0,150.0,100.0,0.8606163789246524
6.1,2.1,1.1,0.1,200.0,4.0,False,,,,,,400.0,500.0,300.0,100.0,
7.1,2.1,0.1,0.1,400.0,6.0,True,381.7870967203355,1.2687863568528428,1648.766048071935,-4082.487454941759,50297.0,150.0,400.0,200.0,300.0,0.7154608787033186
9.1,3.1,3.1,4.1,450.0,3.0,False,,,,,,200.0,500.0,250.0,500.0,
7.1,1.1,2.1,2.1,400.0,2.0,True,383.9815993890006,3.463289025517952,3138.1370565397665,-2593.116446473928,101149.0,150.0,300.0,300.0,400.0,0.47210808496272405
6.1,0.1,7.1,4.1,450.0,5.0,True,382.7698601960725,2.2515498325898307,2501.179193558084,-3230.07430945561,62673.0,350.0,150.0,250.0,400.0,0.5697485373523009
0.1,4.1,8.1,0.1,300.0,5.0,True,388.2693242202025,7.751013856719851,3730.5161006969865,-2000.737402316708,520465.0,100.0,200.0,400.0,500.0,0.7754049206060509
6.1,1.1,0.1,0.1,500.0,5.0,True,382.4063639618804,1.8880535983977325,2586.408260912198,-3144.8452421014963,57770.0,200.0,250.0,350.0,450.0,0.5540918511301529
7.1,3.1,1.1,1.1,500.0,5.0,True,381.3616499594694,0.8433395959867198,1975.608671639988,-3755.6448313737055,50583.0,300.0,450.0,350.0,300.0,0.6587387357375273
0.1,4.1,7.1,4.1,150.0,7.0,True,384.5362260661841,4.01791570270143,1284.0854343420942,-4447.1680686716,113075.0,150.0,100.0,400.0,450.0,0.7904545093232631
7.1,1.1,5.1,1.1,400.0,4.0,True,382.47123714276944,1.95292677928677,2225.836404579255,-3505.417098434439,62437.0,150.0,100.0,350.0,350.0,0.6172624174381438
6.1,3.1,0.1,0.1,200.0,8.0,True,381.63946894707226,1.1211585835895903,882.9914124891511,-4848.262090524543,46973.0,250.0,450.0,450.0,250.0,0.8482419538521133
5.1,2.1,2.1,1.1,150.0,10.0,True,381.7797944571447,1.261484093662034,673.4134478243359,-5057.840055189358,43444.0,450.0,400.0,300.0,500.0,0.8843965166962076
2.1,0.1,8.1,3.1,150.0,4.0,True,385.2465155572799,4.728205193797237,1664.206830940515,-4067.0466720731793,301539.0,350.0,450.0,450.0,250.0,0.8151668256519583
1.1,0.1,9.1,4.1,300.0,10.0,True,384.3452393800501,3.8269290165674192,2254.1472486354032,-3477.106254378291,375741.0,150.0,300.0,450.0,150.0,0.7860094877194194
3.1,1.1,6.1,1.1,100.0,3.0,True,384.9585958393935,4.440285475910855,1101.9503107022028,-4629.303192311491,170034.0,250.0,450.0,250.0,450.0,0.8388588962488024
0.1,2.1,6.1,2.1,150.0,2.0,True,390.441763024559,9.92345266107634,2472.060660488467,-3259.192842525227,510624.0,250.0,150.0,400.0,350.0,0.8860567190285196
1.1,1.1,7.1,4.1,500.0,4.0,False,,,,,,150.0,150.0,400.0,350.0,
7.1,4.1,0.1,3.1,500.0,3.0,True,382.2126452777595,1.6943349142768511,2261.8967180767795,-3469.3567849369147,68483.0,400.0,350.0,150.0,150.0,0.6121674114092613
6.1,1.1,9.1,1.1,250.0,7.0,False,,,,,,450.0,450.0,150.0,500.0,
6.1,1.1,9.1,1.1,250.0,7.0,True,382.1355279042545,1.6172175407718328,1233.0669229699706,-4498.186580043724,50215.0,450.0,450.0,150.0,500.0,0.7876988651032631
0.1,3.1,2.1,4.1,100.0,1.0,True,394.8025917097567,14.284281346274042,2208.174113773035,-3523.079389240659,639313.0,450.0,500.0,300.0,200.0,1.049750416489223
5.1,2.1,1.1,3.1,400.0,4.0,False,,,,,,150.0,300.0,150.0,300.0,
1.1,4.1,3.1,1.1,450.0,9.0,True,382.5239328757072,2.0056225122245337,2405.4562020715384,-3325.797300942156,62718.0,200.0,450.0,250.0,350.0,0.586277375429405
4.1,2.1,5.1,4.1,200.0,5.0,True,382.85982786136896,2.3415174978862865,1297.044116722638,-4434.209386291056,67876.0,500.0,200.0,300.0,200.0,0.7789603676116229
8.1,3.1,9.1,3.1,450.0,7.0,True,380.371543413494,-0.1467669499886597,1231.407073317794,-4499.8464296959,41304.0,100.0,500.0,400.0,150.0,0.7870605316204923
1.1,0.1,7.1,4.1,400.0,3.0,True,387.0851465000328,6.566836136550137,4339.31451385995,-1391.938989153744,462190.0,200.0,350.0,250.0,450.0,0.6610608402812498
7.1,2.1,3.1,0.1,250.0,6.0,True,381.833450401641,1.3151400381583471,1188.9869147744466,-4542.266588239248,51606.0,150.0,100.0,250.0,400.0,0.7955160740049816
4.1,1.1,2.1,0.1,500.0,5.0,True,383.0561132358805,2.537802872397833,2949.6501819948608,-2781.6033210188334,70805.0,450.0,350.0,300.0,300.0,0.49443236565851617
1.1,3.1,5.1,1.1,150.0,2.0,True,386.64484403805926,6.126533674576592,1969.00231408362,-3762.251188930074,271023.0,100.0,500.0,450.0,350.0,0.7490381375340232
0.1,3.1,0.1,3.1,150.0,10.0,False,,,,,,400.0,500.0,350.0,200.0,
4.1,4.1,6.1,3.1,250.0,6.0,True,381.8152022357336,1.2968918722509102,1277.7853192162877,-4453.468183797407,51776.0,400.0,250.0,400.0,500.0,0.780101113087754
4.1,2.1,9.1,4.1,400.0,1.0,True,387.5438510014125,7.025540637929851,4510.992536235281,-1220.2609667784136,256143.0,350.0,400.0,300.0,200.0,0.40209725107526234
5.1,0.1,6.1,3.1,500.0,6.0,True,382.7848673132887,2.266556949806045,2699.8393669438083,-3031.414136069886,60780.0,400.0,500.0,500.0,250.0,0.5350992261703637
1.1,1.1,3.1,1.1,400.0,7.0,True,384.0100272364364,3.4917168729537025,2831.439811302582,-2899.8136917111124,194690.0,500.0,400.0,300.0,150.0,0.5684244579151219
1.1,2.1,1.1,4.1,450.0,1.0,True,389.2539957206834,8.735685357200737,5597.914794521348,-133.3387084923461,400259.0,500.0,300.0,150.0,400.0,0.5332393183494663
0.1,0.1,4.1,1.1,100.0,2.0,True,399.8879620381,19.36965167461733,2598.7121316866906,-3132.541371327004,751726.0,200.0,350.0,100.0,150.0,1.1404026568852874
6.1,1.1,3.1,3.1,500.0,5.0,True,382.38160264128777,1.863292277805101,2413.6646151343302,-3317.588887879364,56246.0,250.0,350.0,300.0,250.0,0.5836915394663398
