from_id,to_id,x_0,y_0,z_0,x_1,y_1,z_1,is_conduit
1203.0,1204.0,558021.6838064453,4869063.746310753,0.0,558005.0171397786,4869080.412977419,0.0,True
1204.0,1205.0,558005.0171397786,4869080.412977419,0.0,557988.350473112,4869097.079644086,0.0,True
1205.0,1206.0,557988.350473112,4869097.079644086,0.0,557971.6838064453,4869113.746310753,0.0,True
1206.0,1207.0,557971.6838064453,4869113.746310753,0.0,557955.0171397786,4869130.412977419,0.0,True
1207.0,434.0,557955.0171397786,4869130.412977419,0.0,557938.350473112,4869147.079644086,0.0,True
275.0,1208.0,559838.350473112,4868247.079644086,0.0,559863.350473112,4868247.079644086,0.0,True
1208.0,1209.0,559863.350473112,4868247.079644086,0.0,559888.350473112,4868247.079644086,0.0,True
1209.0,1210.0,559888.350473112,4868247.079644086,0.0,559913.350473112,4868247.079644086,0.0,True
1210.0,276.0,559913.350473112,4868247.079644086,0.0,559938.350473112,4868247.079644086,0.0,True
276.0,1216.0,559938.350473112,4868247.079644086,0.0,559963.350473112,4868247.079644086,0.0,True
1216.0,1217.0,559963.350473112,4868247.079644086,0.0,559988.350473112,4868247.079644086,0.0,True
1217.0,1218.0,559988.350473112,4868247.079644086,0.0,560013.350473112,4868247.079644086,0.0,True
1218.0,277.0,560013.350473112,4868247.079644086,0.0,560038.350473112,4868247.079644086,0.0,True
408.0,1330.0,557938.350473112,4868947.079644086,0.0,557938.350473112,4868972.079644086,0.0,True
1330.0,1331.0,557938.350473112,4868972.079644086,0.0,557938.350473112,4868997.079644086,0.0,True
1331.0,1332.0,557938.350473112,4868997.079644086,0.0,557938.350473112,4869022.079644086,0.0,True
1332.0,422.0,557938.350473112,4869022.079644086,0.0,557938.350473112,4869047.079644086,0.0,True
414.0,1367.0,558538.350473112,4868947.079644086,0.0,558563.350473112,4868947.079644086,0.0,True
1367.0,1368.0,558563.350473112,4868947.079644086,0.0,558588.350473112,4868947.079644086,0.0,True
1368.0,1369.0,558588.350473112,4868947.079644086,0.0,558613.350473112,4868947.079644086,0.0,True
1369.0,415.0,558613.350473112,4868947.079644086,0.0,558638.350473112,4868947.079644086,0.0,True
311.0,1463.0,558238.350473112,4868447.079644086,0.0,558238.350473112,4868472.079644086,0.0,True
1463.0,1464.0,558238.350473112,4868472.079644086,0.0,558238.350473112,4868497.079644086,0.0,True
1464.0,1465.0,558238.350473112,4868497.079644086,0.0,558238.350473112,4868522.079644086,0.0,True
