id,x,y,z,type
299,558132.816304107,4868383.9971319055,390.56318847274406,junction
300,558131.0310377941,4868389.349503707,390.55921384095575,junction
301,558129.4719831409,4868393.967548109,390.54728328910966,junction
302,558128.2944495131,4868397.408224473,390.5439455779359,junction
303,558127.8808709743,4868398.733104404,390.541330550422,junction
304,558125.8587248992,4868404.722975812,390.534174180615,junction
305,558124.5231459158,4868408.745640105,390.5269896978249,junction
306,558123.376068467,4868412.09312564,390.51925764863347,junction
307,558122.5275241937,4868414.650453508,390.5194440619165,junction
308,558120.9288932608,4868419.479851595,390.50922226732035,junction
309,558119.3309521707,4868424.226823585,390.50277968379106,junction
310,558118.4180649903,4868426.864871226,390.4990854056631,junction
311,558117.735204403,4868428.950000411,390.4960089721052,junction
312,558116.0005183263,4868434.084956296,390.4865535545578,junction
313,558114.4034447467,4868438.951197913,390.4752943414837,junction
314,558113.2742797106,4868442.25298046,390.4739439487976,junction
315,558112.840486954,4868443.579052608,390.47292758110507,junction
316,558110.7427675241,4868449.704727746,390.4604158162296,junction
317,558109.4519174228,4868453.71960656,390.45539187353165,junction
318,558108.3020476107,4868457.09151858,390.44633189929635,junction
319,558107.843779948,4868458.520793632,390.4475803495807,junction
320,558105.7258876618,4868464.702411045,390.4358965303187,junction
321,558104.4193867974,4868468.706256861,390.42586921427966,junction
322,558103.262242702,4868472.081040505,390.4142980500775,junction
323,558102.804468723,4868473.505322386,390.4136675946685,junction
324,558100.6728666378,4868479.665296079,390.38532118429356,junction
325,558099.3565320686,4868483.71624325,390.37073142771635,junction
326,558098.2035064438,4868487.05842812,390.350093031737,junction
327,558097.2392996526,4868489.846639222,390.33228166841116,junction
328,558095.6318521317,4868494.647968044,390.29396186162467,junction
329,558094.2631017495,4868498.754760049,390.25974223791417,junction
330,558093.0911824995,4868502.016694914,390.22464387797754,junction
331,558092.1283538786,4868504.888068788,390.1932964945955,junction
332,558090.8889003535,4868508.523547586,390.15831330308094,junction
333,558089.1493441837,4868513.704055981,390.0969112533794,junction
334,558088.4024116108,4868515.573531707,390.06645442672,junction
335,558086.9913243136,4868519.832474674,390.0138197720695,junction
336,558085.3596848671,4868524.582451055,389.95061316117886,junction
337,558083.6486571544,4868529.323273681,389.88104101019724,junction
338,558083.1923932411,4868530.578096144,389.8606286188257,junction
339,558081.7827355217,4868534.8394747535,389.80701827197873,junction
340,558080.1670420095,4868539.510861064,389.74039686566323,junction
341,558078.7545340111,4868543.556264536,389.67518185157184,junction
342,558078.4305301335,4868544.354124011,389.6628417366123,junction
343,558076.6164271678,4868549.771592589,389.5843830021459,junction
344,558074.9758582587,4868554.442931097,389.5057253693328,junction
345,558073.2781333536,4868559.318704719,389.4353323849563,junction
346,558071.4887492731,4868564.651030445,389.35773421995816,junction
347,558069.8724295794,4868569.273487561,389.28516715362747,junction
348,558068.3066670356,4868573.865493911,389.2163145508548,junction
349,558066.6486243447,4868578.746527142,389.13531510584096,junction
350,558064.8556289373,4868584.065613442,389.0637489359722,junction
351,558063.1833606139,4868588.77092678,388.9888501897499,junction
352,558061.641098063,4868593.511967846,388.92214122380136,junction
353,558059.8761594158,4868598.761473652,388.8495030333223,junction
354,558058.2049112017,4868603.51406061,388.7778347805179,junction
355,558056.1282050838,4868609.600748896,388.6911330984883,junction
356,558054.5256768815,4868614.285150833,388.6243331398098,junction
357,558053.1948621784,4868618.199133759,388.57310542655705,junction
358,558052.8608087384,4868619.15656974,388.55808423685517,junction
359,558051.0945871626,4868624.262243611,388.48690913073125,junction
