t, Q
2516350.0,0.04471224546734181
2516360.0,0.04471227436170659
2516370.0,0.0447123428648638
2516380.0,0.044712351034538224
2516390.0,0.044712390836523855
2516400.0,0.04471234966237585
2516410.0,0.04471232357690546
2516420.0,0.04471228883544305
2516430.0,0.04471222338950002
2516440.0,0.0447122296069828
2516450.0,0.044712207229881576
2516460.0,0.044712265304720736
2516470.0,0.0447122931647877
2516480.0,0.04471232066117487
2516490.0,0.0447123870672061
2516500.0,0.04471236512055802
2516510.0,0.04471236694184962
2516520.0,0.04471230258801269
2516530.0,0.04471227272927129
2516540.0,0.04471224747318405
2516550.0,0.04471219922869168
2516560.0,0.04471223558238127
2516570.0,0.044712242376795754
2516580.0,0.04471230583662173
2516590.0,0.04471234411117219
2516600.0,0.044712358471824205
2516610.0,0.0447123919891583
2516620.0,0.044712339695052235
2516630.0,0.044712327420619126
2516640.0,0.04471226729304265
2516650.0,0.044712227789209774
2516660.0,0.04471221799718112
2516670.0,0.04471222139197746
2516680.0,0.044712274404012334
2516690.0,0.04471228741127333
2516700.0,0.044712346125820486
2516710.0,0.04471237690036171
2516720.0,0.04471237362696708
2516730.0,0.04471234914840087
2516740.0,0.04471229474673889
2516750.0,0.04471228261124768
2516760.0,0.04471222045037441
2516770.0,0.0447122154269104
2516780.0,0.044712226157564885
2516790.0,0.04471226694570976
2516800.0,0.04471232481613919
2516810.0,0.044712332833029535
2516820.0,0.04471238813659871
2516830.0,0.04471236760067686
2516840.0,0.04471234643862025
2516850.0,0.04471231317283411
2516860.0,0.04471224613837811
2516870.0,0.04471224000359591
2516880.0,0.044712199604052705
2516890.0,0.04471224525003947
2516900.0,0.04471226892091364
2516910.0,0.04471230511332721
2516920.0,0.04471237065591512
2516930.0,0.044712363309359245
2516940.0,0.04471238404697436
2516950.0,0.04471232536859892
2516960.0,0.04471229827887925
2516970.0,0.04471227011329599
2516980.0,0.0447122041892651
2516990.0,0.04471222658916161
2517000.0,0.04471222563185265
2517010.0,0.044712290561031265
2517020.0,0.04471231992320817
2517030.0,0.044712346249389835
2517040.0,0.04471239297913048
2517050.0,0.04471235643538493
2517060.0,0.04471234866376409
2517070.0,0.04471228449258998
2517080.0,0.04471224760277186
2517090.0,0.04471222842448058
2517100.0,0.044712203363266007
2517110.0,0.044712253274785695
2517120.0,0.04471226700199803
2517130.0,0.04471232898688457
2517140.0,0.04471236356448668
2517150.0,0.04471237785664216
2517160.0,0.04471236554930736
2517170.0,0.04471231619791547
2517180.0,0.04471230224878063
2517190.0,0.04471224427931904
2517200.0,0.04471221498832345
2517210.0,0.04471221825466916
2517220.0,0.0447122446343183
2517230.0,0.04471229818643711
2517240.0,0.04471230923808816
2517250.0,0.044712375014902765
2517260.0,0.0447123752496439
2517270.0,0.04471236620811384
2517280.0,0.044712323850236414
2517290.0,0.04471226573723972
2517300.0,0.04471225843042683
2517310.0,0.04471220159451504
2517320.0,0.04471222665092393
2517330.0,0.04471224590367088
2517340.0,0.044712279814762106
2517350.0,0.044712347291113085
2517360.0,0.04471235251159256
2517370.0,0.04471239310889093
2517380.0,0.04471234447850984
2517390.0,0.04471232210710973
2517400.0,0.04471228307781432
2517410.0,0.044712219648457355
2517420.0,0.04471222796219897
2517430.0,0.0447122088908434
2517440.0,0.0447122694951347
2517450.0,0.04471229449036754
2517460.0,0.04471232861363605
2517470.0,0.04471238898407288
2517480.0,0.044712365562040925
2517490.0,0.04471236278569737
2517500.0,0.044712297784104606
2517510.0,0.0447122711227242
2517520.0,0.04471224275804492
2517530.0,0.044712199625757246
2517540.0,0.04471223594205278
2517550.0,0.04471224532248586
2517560.0,0.04471231150254513
2517570.0,0.044712344921892286
2517580.0,0.04471236654120536
2517590.0,0.04471238712104596
2517600.0,0.044712337824010975
2517610.0,0.04471232261075888
2517620.0,0.044712258407784186
2517630.0,0.044712228702727674
2517640.0,0.044712212188742335
2517650.0,0.044712229534478
2517660.0,0.04471227696247235
2517670.0,0.0447122919494853
2517680.0,0.04471235240491288
2517690.0,0.044712375240805534
2517700.0,0.04471237563098102
2517710.0,0.0447123441537344
2517720.0,0.04471229199163688
2517730.0,0.0447122814116255
2517740.0,0.044712213546684434
2517750.0,0.04471221811682632
2517760.0,0.044712226048929694
2517770.0,0.04471227236025496
2517780.0,0.04471232838117514
2517790.0,0.044712334631881685
2517800.0,0.04471239287635068
2517810.0,0.04471236307098452
2517820.0,0.044712345334509566
2517830.0,0.04471230798084646
2517840.0,0.044712241005268216
2517850.0,0.04471223732630372
2517860.0,0.0447121983943082
2517870.0,0.04471225306186797
2517880.0,0.04471227146866216
2517890.0,0.04471231648018496
2517900.0,0.04471237480020129
2517910.0,0.04471236606618315
2517920.0,0.04471237929771547
2517930.0,0.04471231727467562
2517940.0,0.04471229644598337
2517950.0,0.04471225370450487
2517960.0,0.04471220310638637
2517970.0,0.044712225697069785
2517980.0,0.044712235805014086
2517990.0,0.044712300089014445
2518000.0,0.04471232163589071
2518010.0,0.04471235791750069
